// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
07251,NaN,8.657943,-1.589398,4.141328,-0.000000,-0.000000,-0.084549,0.086247,-0.128885,-0.279156,-1.096680,-0.009766,-0.223389,0.086530,-0.016033,0.041462,0.999999,0.000431,-0.000644,-0.001396,-0.217365,-0.483798,0.229858,-0.816000
07252,NaN,9.045259,-1.873392,4.434187,0.196298,0.532004,0.417985,0.074305,-0.119210,-0.318645,-1.090088,-0.016357,-0.229248,0.090396,-0.018894,0.044389,0.999998,0.000372,-0.000596,-0.001593,-0.179666,-0.494485,0.183583,-0.830363
07253,NaN,8.871896,-2.214183,3.846399,0.020322,1.110114,0.045056,-0.063305,-0.114685,-0.322302,-1.085693,-0.018311,-0.220947,0.088661,-0.022273,0.038522,0.999998,-0.000317,-0.000573,-0.001612,-0.181055,-0.495199,0.183152,-0.829730
07254,NaN,8.793994,-2.406860,3.389921,-0.170131,1.501139,-0.203502,-0.159567,-0.136884,-0.305683,-1.087646,-0.024658,-0.225098,0.087880,-0.024176,0.033979,0.999998,-0.000798,-0.000684,-0.001528,-0.182591,-0.495897,0.183183,-0.828970
07255,NaN,9.238303,-2.583608,3.205878,-0.391262,1.804656,0.131607,-0.262775,-0.137503,-0.294712,-1.092041,-0.020508,-0.218994,0.092323,-0.025930,0.032156,0.999998,-0.001314,-0.000688,-0.001474,-0.184338,-0.496496,0.183667,-0.828117
07256,NaN,9.947190,-2.938953,3.196292,-0.506314,2.207241,0.802018,-0.313435,-0.126611,-0.283851,-1.089600,-0.026855,-0.218750,0.099410,-0.029480,0.032072,0.999998,-0.001567,-0.000633,-0.001419,-0.186155,-0.497003,0.184410,-0.827241
07257,NaN,10.383480,-3.806874,3.775486,0.195805,2.729195,1.548489,-0.281906,-0.091848,-0.253083,-1.085449,-0.026855,-0.222900,0.103769,-0.038147,0.037856,0.999998,-0.001410,-0.000459,-0.001265,-0.187817,-0.497353,0.185032,-0.826515
07258,NaN,10.614064,-3.822503,4.424784,0.616085,2.451828,2.038791,-0.193463,-0.033795,-0.206114,-1.091553,-0.033203,-0.216797,0.106094,-0.038292,0.044303,0.999999,-0.000967,-0.000169,-0.001031,-0.189049,-0.497539,0.185468,-0.826025
07259,NaN,10.912294,-3.668048,4.475835,0.460465,2.336361,2.307347,-0.167189,0.043721,-0.122881,-1.085449,-0.029053,-0.220947,0.109110,-0.036710,0.044765,0.999999,-0.000836,0.000219,-0.000614,-0.190013,-0.497314,0.185811,-0.825862
07260,NaN,10.608490,-3.327854,3.870302,-0.032275,2.303299,1.732341,-0.059710,0.076476,-0.041092,-1.083252,-0.031250,-0.218750,0.106093,-0.033289,0.038672,1.000000,-0.000299,0.000382,-0.000205,-0.190258,-0.497018,0.186121,-0.825914
