// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
34486,NaN,7.740744,0.234135,5.108107,0.000000,-0.000000,-0.535504,-1.572338,0.442015,-0.140364,-0.961914,-0.162598,-0.192627,0.077522,0.002688,0.050890,0.999966,-0.007862,0.002210,-0.000702,-0.170838,-0.468983,0.076039,-0.863184
34487,NaN,7.615482,0.085552,5.396406,-0.000000,-0.000000,-0.478690,-1.551314,0.444850,-0.168049,-0.966064,-0.162598,-0.200928,0.076276,0.001209,0.053786,0.999967,-0.007756,0.002224,-0.000840,-0.173476,-0.452801,0.082781,-0.870646
34488,NaN,7.515862,-0.212193,5.561797,0.495541,0.244010,-0.476674,-1.534366,0.442488,-0.176548,-0.962158,-0.156006,-0.209473,0.075280,-0.001762,0.055466,0.999968,-0.007672,0.002212,-0.000883,-0.175108,-0.459261,0.082542,-0.866951
34489,NaN,7.286442,-0.352824,5.351534,0.443938,0.331470,-0.782288,-1.624009,0.447291,-0.153761,-0.964111,-0.162598,-0.213623,0.072981,-0.003151,0.053379,0.999964,-0.008120,0.002236,-0.000769,-0.179682,-0.455947,0.088834,-0.867142
34490,NaN,6.876051,-0.278167,5.309570,0.527409,0.120062,-1.137682,-1.718458,0.454458,-0.102121,-0.958008,-0.156006,-0.226318,0.068880,-0.002361,0.052961,0.999960,-0.008592,0.002272,-0.000511,-0.184174,-0.452243,0.095788,-0.867399
34491,NaN,6.665222,-0.179839,5.371970,0.578471,-0.102428,-1.270452,-1.672697,0.432345,-0.085467,-0.955811,-0.153809,-0.234863,0.066768,-0.001378,0.053588,0.999963,-0.008363,0.002162,-0.000427,-0.188527,-0.448852,0.102447,-0.867464
34492,NaN,6.520316,-0.205198,5.122409,0.410084,-0.077202,-1.528911,-1.636704,0.423561,-0.075292,-0.956055,-0.145264,-0.234863,0.065311,-0.001658,0.051100,0.999964,-0.008183,0.002118,-0.000376,-0.193244,-0.445025,0.108660,-0.867642
34493,NaN,6.496225,-0.243357,5.253800,0.473009,-0.151887,-1.469115,-1.510425,0.417071,-0.056093,-0.958252,-0.147461,-0.243408,0.065071,-0.002056,0.052419,0.999969,-0.007552,0.002085,-0.000280,-0.197069,-0.441773,0.114681,-0.867669
34494,NaN,6.518642,-0.445432,5.349464,0.552561,-0.055184,-1.386594,-1.317023,0.395530,-0.047739,-0.954102,-0.147461,-0.247559,0.065291,-0.004118,0.053393,0.999976,-0.006585,0.001978,-0.000239,-0.200043,-0.438411,0.120066,-0.867965
34495,NaN,6.531171,-0.696429,5.420289,0.656349,0.099379,-1.322711,-1.177197,0.392999,-0.042891,-0.949951,-0.140869,-0.258301,0.065417,-0.006660,0.054114,0.999981,-0.005886,0.001965,-0.000214,-0.203041,-0.435545,0.124686,-0.868060
34496,NaN,6.526531,-0.937597,5.397225,0.691805,0.286034,-1.324813,-1.072071,0.391146,-0.026492,-0.954590,-0.134521,-0.264648,0.065370,-0.009096,0.053894,0.999984,-0.005360,0.001956,-0.000132,-0.205904,-0.432061,0.128812,-0.868524
34497,NaN,6.417730,-1.148338,5.265430,0.709539,0.459677,-1.475085,-1.046561,0.406278,0.016484,-0.950195,-0.134521,-0.270996,0.064285,-0.011203,0.052583,0.999984,-0.005233,0.002031,0.000082,-0.208352,-0.429201,0.132972,-0.868731
34498,NaN,6.191887,-1.226576,5.281489,0.816005,0.414976,-1.633468,-1.078071,0.425106,0.079985,-0.950195,-0.136475,-0.275146,0.062036,-0.011957,0.052748,0.999983,-0.005390,0.002126,0.000400,-0.210947,-0.425330,0.138402,-0.869161
34499,NaN,6.165636,-1.187318,5.151480,0.668590,0.383494,-1.727640,-1.154615,0.451716,0.152499,-0.950195,-0.134521,-0.277344,0.061781,-0.011529,0.051443,0.999980,-0.005773,0.002259,0.000762,-0.213048,-0.422035,0.143265,-0.869466
34500,NaN,5.075433,-1.486603,5.530105,1.597831,0.137382,-2.330743,-1.255274,0.457610,0.251738,-0.950684,-0.123779,-0.288086,0.050899,-0.014455,0.055276,0.999977,-0.006276,0.002288,0.001259,-0.216345,-0.417310,0.150482,-0.869714
34501,NaN,5.148767,-1.576331,5.534519,1.547260,0.168485,-2.249453,-1.150613,0.353552,0.341026,-0.950928,-0.119385,-0.292236,0.051612,-0.015357,0.055343,0.999980,-0.005753,0.001768,0.001705,-0.217525,-0.414263,0.155811,-0.869938
34502,NaN,5.149505,-1.902266,5.817389,1.812843,0.229098,-2.025624,-1.205762,0.320088,0.450499,-0.951172,-0.110840,-0.294434,0.051630,-0.018556,0.058204,0.999978,-0.006029,0.001600,0.002252,-0.219565,-0.409450,0.163685,-0.870258
34503,NaN,5.012891,-2.106245,6.158654,2.151733,0.127908,-1.885077,-1.279021,0.313327,0.566907,-0.945068,-0.100098,-0.300781,0.050284,-0.020526,0.061640,0.999974,-0.006395,0.001567,0.002835,-0.219968,-0.406208,0.170063,-0.870453
34504,NaN,4.904305,-2.104966,6.469884,2.299027,-0.166416,-1.748693,-1.297452,0.314927,0.681055,-0.949707,-0.089355,-0.301025,0.049215,-0.020462,0.064755,0.999972,-0.006487,0.001575,0.003405,-0.221088,-0.400446,0.179080,-0.871030
34505,NaN,4.978714,-2.330221,7.099412,2.684178,-0.366041,-1.252380,-1.231651,0.348877,0.788278,-0.949951,-0.083008,-0.311523,0.050001,-0.022668,0.071048,0.999972,-0.006158,0.001744,0.003941,-0.220427,-0.396848,0.185632,-0.871473
34506,NaN,4.784559,-2.556916,8.158583,3.414775,-0.864237,-0.670297,-0.967570,0.362432,0.850304,-0.943848,-0.072266,-0.318115,0.048100,-0.024970,0.081621,0.999978,-0.004838,0.001812,0.004251,-0.219403,-0.390353,0.192754,-0.873117
34507,NaN,4.560382,-2.691311,9.112006,4.105021,-1.370453,-0.203392,-0.648798,0.298457,0.850468,-0.941895,-0.065674,-0.320312,0.045853,-0.026423,0.091138,0.999985,-0.003244,0.001492,0.004252,-0.217241,-0.387512,0.196916,-0.873993
34508,NaN,4.229801,-2.034751,9.027052,3.748459,-2.013300,-0.570715,-0.614914,0.181085,0.769536,-0.946533,-0.050781,-0.316162,0.042457,-0.019907,0.090294,0.999987,-0.003075,0.000905,0.003848,-0.215413,-0.381129,0.201759,-0.876145
34509,NaN,4.218827,-0.917858,8.305271,2.686202,-2.642043,-1.244049,-0.895206,-0.039412,0.614373,-0.948730,-0.048584,-0.316162,0.042199,-0.008677,0.083101,0.999985,-0.004476,-0.000197,0.003072,-0.214385,-0.379713,0.206891,-0.875816
34510,NaN,4.779107,0.010364,7.862990,1.505446,-3.049926,-1.263009,-1.223626,-0.232142,0.416907,-0.942627,-0.044189,-0.320312,0.047699,0.000684,0.078682,0.999978,-0.006118,-0.001161,0.002085,-0.208484,-0.375310,0.207659,-0.878951
34511,NaN,5.336247,0.150339,7.638286,0.913006,-3.037723,-1.050322,-1.350221,-0.328109,0.202396,-0.944824,-0.037842,-0.313965,0.053235,0.002073,0.076458,0.999975,-0.006751,-0.001641,0.001012,-0.209783,-0.375125,0.214310,-0.877122
34512,NaN,5.790121,-0.322473,7.164664,0.524841,-2.349042,-0.915070,-1.321221,-0.304533,0.019114,-0.947021,-0.037842,-0.316162,0.057792,-0.002745,0.071754,0.999977,-0.006606,-0.001523,0.000096,-0.210366,-0.371778,0.217821,-0.877543
34513,NaN,5.684559,-1.138801,6.711858,0.753735,-1.544026,-1.111680,-1.132386,-0.226071,-0.144603,-0.947266,-0.029297,-0.312012,0.056762,-0.011049,0.067246,0.999983,-0.005662,-0.001130,-0.000723,-0.212855,-0.371730,0.222755,-0.875723
34514,NaN,4.772059,-1.941132,6.602264,1.650129,-0.995721,-1.663096,-0.811097,-0.189967,-0.321999,-0.938721,-0.031494,-0.318359,0.047627,-0.019220,0.066146,0.999990,-0.004055,-0.000950,-0.001610,-0.211960,-0.369039,0.221011,-0.877518
34515,NaN,4.254312,-2.805449,6.891573,2.625374,-0.593021,-1.675178,-0.307969,-0.347525,-0.547297,-0.942627,-0.040039,-0.307617,0.042346,-0.028064,0.069033,0.999994,-0.001540,-0.001738,-0.002736,-0.214544,-0.370840,0.221719,-0.875950
34516,NaN,3.961900,-3.388492,7.180120,3.312770,-0.265637,-1.585491,0.384294,-0.730672,-0.835078,-0.948730,-0.046387,-0.303467,0.039214,-0.034187,0.071879,0.999983,0.001921,-0.003653,-0.004175,-0.214949,-0.373120,0.215843,-0.876351
34517,NaN,4.969521,-3.483404,6.677584,2.567789,0.337884,-1.169167,0.869239,-1.142271,-1.101685,-0.944092,-0.057373,-0.284424,0.049119,-0.035396,0.066904,0.999959,0.004346,-0.005711,-0.005508,-0.216913,-0.380232,0.211197,-0.873938
34518,NaN,5.496508,-4.097282,3.642892,0.886645,2.695760,-2.586708,1.024211,-1.312789,-1.314250,-0.949707,-0.078857,-0.269287,0.054454,-0.041519,0.036576,0.999944,0.005121,-0.006564,-0.006571,-0.213835,-0.385812,0.200357,-0.874803
34519,NaN,5.062556,-5.245202,-1.763362,-1.336122,6.380955,-6.104739,1.699200,-1.480076,-1.445819,-0.949219,-0.093750,-0.256592,0.050376,-0.052667,-0.017707,0.999910,0.008496,-0.007400,-0.007229,-0.215380,-0.395516,0.191700,-0.872026
34520,NaN,6.603023,-6.916384,-4.411980,-2.965112,9.474668,-6.299886,3.016666,-1.802981,-1.343739,-0.948486,-0.115234,-0.230957,0.065967,-0.068937,-0.044566,0.999823,0.015082,-0.009014,-0.006718,-0.214302,-0.405896,0.180815,-0.869844
34521,NaN,10.776311,-7.917356,-1.410353,-2.995656,9.840628,-1.153055,3.638794,-1.938843,-1.172016,-0.941650,-0.128174,-0.207764,0.107437,-0.079542,-0.014506,0.999770,0.018193,-0.009693,-0.005860,-0.210213,-0.419193,0.164647,-0.867744
34522,NaN,13.524787,-8.158747,2.504617,-1.590324,8.857140,3.407553,2.946316,-1.752628,-1.053897,-0.945312,-0.145508,-0.190674,0.134595,-0.082667,0.025015,0.999839,0.014731,-0.008763,-0.005269,-0.211560,-0.430752,0.159965,-0.862616
34523,NaN,16.688262,-6.753887,5.837070,-1.505591,6.991804,7.709365,2.012503,-1.610460,-0.963380,-0.945068,-0.151855,-0.175781,0.166079,-0.068932,0.059021,0.999905,0.010062,-0.008052,-0.004817,-0.210073,-0.440556,0.150898,-0.859656
