// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
37239,NaN,8.101783,-0.192653,-1.921760,0.000000,0.000000,-1.483877,0.060063,-0.341989,0.170396,-0.807373,0.428711,0.085205,0.081052,-0.001852,-0.019080,0.999998,0.000300,-0.001710,0.000852,0.490687,-0.494311,-0.608438,-0.380377
37240,NaN,8.034713,-0.233318,-1.633882,-0.280497,0.320438,-1.621279,0.252842,-0.344985,0.137090,-0.807373,0.426758,0.083252,0.080377,-0.002258,-0.016203,0.999997,0.001264,-0.001725,0.000685,0.485299,-0.487182,-0.621003,-0.376158
37241,NaN,8.217096,-0.627669,-1.639798,-0.663068,0.293747,-1.441454,0.395189,-0.356278,0.119146,-0.803223,0.428711,0.081055,0.082204,-0.006196,-0.016264,0.999996,0.001976,-0.001781,0.000596,0.485377,-0.487261,-0.622318,-0.373773
37242,NaN,8.575619,-1.052177,-1.798550,-1.040570,0.148738,-1.050376,0.505058,-0.367197,0.125201,-0.807617,0.435303,0.089600,0.085796,-0.010423,-0.017854,0.999995,0.002525,-0.001836,0.000626,0.486211,-0.486797,-0.623622,-0.371110
37243,NaN,8.889770,-1.197775,-1.428831,-1.275295,0.566219,-0.837323,0.604108,-0.350190,0.147146,-0.809814,0.435303,0.089600,0.088931,-0.011869,-0.014169,0.999994,0.003021,-0.001751,0.000736,0.486860,-0.486434,-0.625232,-0.368014
37244,NaN,9.066864,-1.324277,-0.680845,-1.538457,1.290605,-0.846490,0.664643,-0.317517,0.191973,-0.801025,0.433105,0.083252,0.090692,-0.013133,-0.006708,0.999993,0.003323,-0.001588,0.000960,0.489600,-0.486487,-0.625342,-0.364101
37245,NaN,9.456452,-1.744965,-0.228068,-2.061511,1.726296,-0.577354,0.600347,-0.309919,0.266392,-0.796875,0.437256,0.083008,0.094591,-0.017317,-0.002186,0.999993,0.003002,-0.001550,0.001332,0.490573,-0.486411,-0.626542,-0.360816
37246,NaN,9.522410,-2.184227,0.147457,-2.426550,1.904101,-0.541494,0.465801,-0.272379,0.353073,-0.795166,0.446045,0.078613,0.095260,-0.021678,0.001554,0.999995,0.002329,-0.001362,0.001765,0.498476,-0.487107,-0.621445,-0.357848
37247,NaN,9.608171,-2.260785,0.612334,-2.597141,2.363470,-0.567594,0.329555,-0.229472,0.452715,-0.790771,0.445801,0.080811,0.096125,-0.022400,0.006197,0.999995,0.001648,-0.001147,0.002264,0.499373,-0.488101,-0.621501,-0.355135
37248,NaN,9.843198,-2.828666,1.154821,-2.974387,2.581339,-0.288353,0.200434,-0.178566,0.585065,-0.793457,0.456543,0.082764,0.098504,-0.028010,0.011608,0.999995,0.001002,-0.000893,0.002925,0.514787,-0.489432,-0.608758,-0.353362
37249,NaN,9.961226,-3.282787,1.702156,-3.504004,3.028804,-0.249851,0.000963,-0.100558,0.737004,-0.784912,0.460938,0.084961,0.099724,-0.032461,0.017072,0.999993,0.000005,-0.000503,0.003685,0.515782,-0.491847,-0.607211,-0.351213
37250,NaN,9.894126,-3.913233,2.020533,-3.690087,2.831654,-0.032410,-0.235330,-0.022822,0.898014,-0.787354,0.469482,0.091309,0.099113,-0.038664,0.020262,0.999989,-0.001177,-0.000114,0.004490,0.538425,-0.493969,-0.585752,-0.350695
37251,NaN,9.613038,-4.660868,2.057419,-4.337135,2.659477,-0.195914,-0.463728,0.067621,1.065639,-0.774902,0.482178,0.088867,0.096384,-0.046048,0.020649,0.999983,-0.002319,0.000338,0.005328,0.539337,-0.498211,-0.582115,-0.349346
37252,NaN,9.204340,-5.705836,2.352241,-4.799892,2.255537,-0.082260,-0.628711,0.177242,1.227390,-0.772949,0.490967,0.088867,0.092412,-0.056418,0.023619,0.999976,-0.003144,0.000886,0.006137,0.566160,-0.502004,-0.553873,-0.347390
37253,NaN,8.691786,-6.747649,2.794571,-5.851327,2.398345,-0.384282,-0.764373,0.310253,1.396449,-0.764893,0.503662,0.099365,0.087429,-0.066760,0.028066,0.999967,-0.003822,0.001551,0.006982,0.567508,-0.507480,-0.548143,-0.346321
37254,NaN,7.812682,-7.563193,3.196292,-6.118929,2.183294,-0.525884,-0.844639,0.435290,1.567785,-0.760742,0.510010,0.093018,0.078786,-0.074881,0.032109,0.999958,-0.004223,0.002176,0.007839,0.596323,-0.514053,-0.514537,-0.339706
37255,NaN,7.045928,-9.013701,2.857703,-7.403026,1.500738,-0.757465,-0.842542,0.522056,1.724998,-0.744141,0.525146,0.094971,0.071307,-0.089403,0.028769,0.999951,-0.004213,0.002610,0.008625,0.598401,-0.520091,-0.507090,-0.338055
37256,NaN,6.620341,-13.320929,0.267190,-9.930941,-2.197976,1.044788,-0.931761,0.434018,1.965695,-0.734131,0.544434,0.098877,0.067515,-0.132536,0.003145,0.999938,-0.004659,0.002170,0.009828,0.625829,-0.530914,-0.469452,-0.325703
37257,NaN,6.943333,-10.926860,2.487585,-7.973311,0.681670,0.663291,-1.356442,0.554704,2.263931,-0.727783,0.552979,0.098877,0.070733,-0.108302,0.025418,0.999909,-0.006782,0.002773,0.011319,0.627160,-0.539521,-0.459456,-0.323246
37258,NaN,3.656720,-5.378110,3.334068,-3.703499,2.415209,-3.993787,-0.810020,0.752784,2.323623,-0.715820,0.574219,0.100830,0.037313,-0.053215,0.033417,0.999917,-0.004050,0.003764,0.011618,0.651737,-0.555356,-0.419884,-0.300859
37259,NaN,1.965826,-6.550193,4.503874,-5.596861,3.232633,-4.785135,-0.257785,0.882767,2.317854,-0.703369,0.587158,0.096436,0.020614,-0.065209,0.045033,0.999922,-0.001289,0.004414,0.011589,0.656310,-0.559691,-0.410151,-0.296275
37260,NaN,0.291913,-4.788603,5.640358,-4.826075,4.567411,-6.545412,-0.577780,0.906435,2.213515,-0.686523,0.600098,0.087646,0.003704,-0.047685,0.056526,0.999924,-0.002889,0.004532,0.011067,0.676635,-0.567799,-0.375777,-0.280288
37261,NaN,0.770495,6.027833,3.841420,4.590059,4.930700,-12.322977,-2.231548,0.638059,1.708469,-0.680420,0.606445,0.104736,0.007308,0.060765,0.037714,0.999896,-0.011157,0.003190,0.008542,0.673822,-0.577605,-0.365602,-0.280483
37262,NaN,3.917064,7.691454,-1.485472,8.615632,-0.260923,-11.364468,-2.027956,0.382298,1.203018,-0.672119,0.617188,0.106689,0.038678,0.076992,-0.015709,0.999929,-0.010140,0.001911,0.006015,0.675883,-0.587555,-0.338414,-0.288855
37263,NaN,13.598304,-6.861044,0.222675,2.893856,-0.604691,5.130267,-1.704681,0.256484,1.563438,-0.659424,0.619141,0.130371,0.136517,-0.067523,0.002631,0.999932,-0.008523,0.001282,0.007817,0.673521,-0.595551,-0.330469,-0.287190
37264,NaN,14.937911,-3.680350,-5.461664,7.036593,-5.888076,3.690347,-2.318164,0.241760,1.409509,-0.653076,0.627686,0.143066,0.149571,-0.036381,-0.054374,0.999907,-0.011590,0.001209,0.007047,0.675080,-0.599503,-0.321487,-0.285499
37265,NaN,16.588185,-3.014352,-5.929784,8.738167,-6.244656,4.472390,-1.164502,0.313710,1.290646,-0.651367,0.638428,0.140869,0.165980,-0.029418,-0.059385,0.999961,-0.005822,0.001569,0.006453,0.673910,-0.605037,-0.314884,-0.283943
37266,NaN,17.457088,-4.043332,-5.483732,8.601905,-5.865793,5.768238,-0.273472,0.336861,1.334270,-0.638672,0.640625,0.136475,0.174743,-0.039343,-0.055077,0.999975,-0.001367,0.001684,0.006671,0.676988,-0.603884,-0.314688,-0.279252
37267,NaN,16.961142,-1.681500,-2.656769,10.007383,-2.815044,3.952838,0.085248,0.336077,1.283506,-0.632324,0.649170,0.138672,0.169670,-0.015715,-0.026860,0.999978,0.000426,0.001680,0.006417,0.679552,-0.605133,-0.309787,-0.275782
37268,NaN,15.465578,-1.758712,0.031974,8.651393,-0.138861,3.125957,0.131677,0.294972,1.332959,-0.622314,0.668457,0.136230,0.154769,-0.016556,0.000080,0.999976,0.000658,0.001475,0.006665,0.672997,-0.610437,-0.309018,-0.280979
