// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
54417,NaN,11.813222,0.055351,-1.226113,0.000000,0.000000,2.064120,-0.243486,0.024274,0.269715,-1.087402,-0.028564,-0.256348,0.118130,0.000698,-0.012276,0.999998,-0.001217,0.000121,0.001349,0.669466,0.017226,-0.742553,0.011574
54418,NaN,12.418263,0.300599,-1.839931,0.000000,0.000000,2.744735,-0.156511,0.007157,0.320391,-1.093994,-0.028320,-0.262939,0.124177,0.003191,-0.018406,0.999998,-0.000783,0.000036,0.001602,0.653067,0.002454,-0.757154,-0.014662
54419,NaN,11.563459,0.419075,-0.366573,-1.086325,0.240234,1.710577,0.045488,0.086548,0.350261,-1.085205,-0.028564,-0.256348,0.115625,0.004394,-0.003715,0.999998,0.000227,0.000433,0.001751,0.661455,0.005217,-0.749953,-0.004449
54420,NaN,9.939925,0.344883,0.708098,-1.939801,0.226741,-0.034748,0.170766,0.105704,0.380931,-1.089600,-0.026367,-0.258545,0.099396,0.003632,0.007031,0.999998,0.000854,0.000529,0.001905,0.661854,0.004356,-0.749616,-0.002546
54421,NaN,8.832697,0.866733,1.298722,-2.379847,0.780129,-1.199786,0.185710,0.054381,0.398595,-1.089844,-0.019775,-0.260986,0.088313,0.008831,0.012971,0.999998,0.000929,0.000272,0.001993,0.662241,0.004104,-0.749279,-0.000899
54422,NaN,8.685696,0.409440,1.265869,-2.326839,0.358718,-1.346968,0.090445,-0.033862,0.433181,-1.096191,-0.024170,-0.267334,0.086846,0.004277,0.012675,0.999998,0.000452,-0.000169,0.002166,0.662113,0.002781,-0.749398,0.000873
54423,NaN,9.525634,-0.708645,1.684260,-2.765257,-0.740150,-0.545437,-0.060016,-0.086392,0.507705,-1.090088,-0.011230,-0.258789,0.095267,-0.006840,0.016886,0.999997,-0.000300,-0.000432,0.002539,0.665042,0.001322,-0.746803,0.001469
54424,NaN,9.773254,-1.584575,1.622372,-2.741321,-1.560983,-0.288632,-0.318708,-0.099979,0.565057,-1.090332,-0.007080,-0.263184,0.097769,-0.015544,0.016298,0.999995,-0.001594,-0.000500,0.002825,0.664663,-0.001847,-0.747138,0.002158
54425,NaN,9.163473,-2.380477,0.572279,-1.440017,-2.257559,-0.713629,-0.583846,-0.101611,0.580360,-1.096924,-0.000488,-0.259033,0.091700,-0.023522,0.005838,0.999991,-0.002919,-0.000508,0.002902,0.672688,-0.007332,-0.739880,0.003998
54426,NaN,10.147278,-3.367349,-0.330769,-0.667636,-3.173312,0.380430,-0.625272,-0.089477,0.610287,-1.101562,0.010254,-0.265625,0.101576,-0.033374,-0.003158,0.999990,-0.003126,-0.000447,0.003051,0.672315,-0.011691,-0.740164,0.003741
