// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
61578,NaN,9.597532,0.668848,-1.452617,-0.000000,0.000000,-0.082833,-0.005099,-0.058613,-0.126357,-1.160156,-0.107910,-0.180664,0.095984,0.006627,-0.014498,1.000000,-0.000025,-0.000293,-0.000632,0.652292,0.048408,-0.756413,-0.003280
61579,NaN,9.690468,0.741753,-1.545282,-0.000000,0.000000,0.028209,0.004159,-0.051650,-0.128256,-1.158203,-0.105713,-0.176270,0.096913,0.007356,-0.015428,1.000000,0.000021,-0.000258,-0.000641,0.649149,0.040220,-0.759452,-0.014832
61580,NaN,9.706766,1.040843,-1.576425,0.050096,0.339548,0.070225,-0.000886,-0.047107,-0.119667,-1.166748,-0.105713,-0.178467,0.097078,0.010350,-0.015741,1.000000,-0.000004,-0.000236,-0.000598,0.650687,0.046111,-0.757904,-0.007912
61581,NaN,9.753529,1.202143,-1.675272,0.127821,0.489734,0.143558,-0.014562,-0.030702,-0.106375,-1.160156,-0.107910,-0.172119,0.097544,0.011968,-0.016739,1.000000,-0.000073,-0.000154,-0.000532,0.650570,0.046466,-0.757978,-0.008320
61582,NaN,9.790617,0.957329,-1.534287,-0.004306,0.225988,0.140986,-0.028064,-0.022099,-0.093625,-1.164551,-0.109863,-0.178467,0.097912,0.009525,-0.015333,1.000000,-0.000140,-0.000110,-0.000468,0.650485,0.046727,-0.758030,-0.008736
61583,NaN,9.715010,0.807366,-1.461309,-0.057175,0.070366,0.044313,-0.023080,-0.012275,-0.082359,-1.160400,-0.103516,-0.174316,0.097154,0.008032,-0.014608,1.000000,-0.000115,-0.000061,-0.000412,0.650440,0.046963,-0.758049,-0.009094
61584,NaN,9.663530,0.906679,-1.493610,-0.023949,0.167001,0.006084,-0.026156,-0.008949,-0.072424,-1.166504,-0.114258,-0.182617,0.096639,0.009030,-0.014933,1.000000,-0.000131,-0.000045,-0.000362,0.650409,0.047155,-0.758060,-0.009434
61585,NaN,9.690157,1.107152,-1.580677,0.046271,0.361796,0.061037,-0.017756,0.001364,-0.056681,-1.160400,-0.105713,-0.174316,0.096905,0.011043,-0.015808,1.000000,-0.000089,0.000007,-0.000283,0.650416,0.047312,-0.758041,-0.009685
61586,NaN,9.729323,0.988077,-1.549165,0.017551,0.233264,0.085859,-0.014817,0.015089,-0.040233,-1.164551,-0.109863,-0.176270,0.097294,0.009860,-0.015500,1.000000,-0.000074,0.000075,-0.000201,0.650474,0.047428,-0.757982,-0.009881
61587,NaN,9.731154,0.897795,-1.481485,-0.042044,0.136708,0.070416,-0.010840,0.023006,-0.027422,-1.157959,-0.109863,-0.176270,0.097311,0.008964,-0.014827,1.000000,-0.000054,0.000115,-0.000137,0.650562,0.047497,-0.757900,-0.010006
61588,NaN,9.730614,0.976192,-1.596537,0.069542,0.217946,0.093593,-0.008082,0.025388,-0.007011,-1.164307,-0.109863,-0.180664,0.097304,0.009758,-0.015978,1.000000,-0.000040,0.000127,-0.000035,0.650660,0.047516,-0.757815,-0.010073
61589,NaN,9.742195,1.210699,-1.648200,0.108145,0.453592,0.130918,0.014381,0.039858,0.018863,-1.162354,-0.107910,-0.178467,0.097418,0.012117,-0.016501,1.000000,0.000072,0.000199,0.000094,0.650808,0.047493,-0.757690,-0.009948
61590,NaN,9.753143,1.126668,-1.478628,-0.051771,0.363309,0.109251,0.013002,0.052451,0.037176,-1.162109,-0.112061,-0.180664,0.097525,0.011286,-0.014811,1.000000,0.000065,0.000262,0.000186,0.650999,0.047431,-0.757532,-0.009803
61591,NaN,9.750357,1.048063,-1.379786,-0.139230,0.285308,0.085338,-0.005454,0.055155,0.049945,-1.160156,-0.109863,-0.176270,0.097497,0.010505,-0.013825,1.000000,-0.000027,0.000276,0.000250,0.651211,0.047227,-0.757364,-0.009648
61592,NaN,9.731086,0.812582,-1.367409,-0.129552,0.055608,0.046534,-0.021495,0.051136,0.054163,-1.160156,-0.109863,-0.187012,0.097305,0.008151,-0.013700,1.000000,-0.000107,0.000256,0.000271,0.651411,0.047006,-0.757207,-0.009602
61593,NaN,9.734044,0.642225,-1.353647,-0.128921,-0.109540,0.034536,-0.026287,0.045188,0.055723,-1.162598,-0.101318,-0.176514,0.097336,0.006448,-0.013559,1.000000,-0.000131,0.000226,0.000279,0.651591,0.046711,-0.757071,-0.009509
61594,NaN,9.715027,0.811600,-1.453326,-0.032783,0.069157,0.043617,-0.023652,0.047377,0.055647,-1.166504,-0.112061,-0.182861,0.097145,0.008141,-0.014557,1.000000,-0.000118,0.000237,0.000278,0.651787,0.046474,-0.756918,-0.009464
61595,NaN,9.697110,1.106574,-1.490429,-0.005437,0.371716,0.053498,-0.028708,0.058287,0.063114,-1.160400,-0.103516,-0.178467,0.096963,0.011094,-0.014934,1.000000,-0.000144,0.000291,0.000316,0.652017,0.046144,-0.756741,-0.009353
