// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
11748,NaN,9.844839,0.446698,-0.004526,-0.140095,0.045181,0.041182,0.036107,0.016882,-0.001594,-0.925537,0.494385,-0.538086,0.098448,0.004466,-0.000053,1.000000,0.000181,0.000084,-0.000008,0.639140,-0.260713,-0.662426,-0.291067
11749,NaN,9.771217,0.464155,0.012138,-0.134942,0.070325,-0.031628,0.045428,0.009783,-0.001244,-0.929688,0.485596,-0.538086,0.097712,0.004641,0.000118,1.000000,0.000227,0.000049,-0.000006,0.639232,-0.260550,-0.662460,-0.290933
11750,NaN,9.768276,0.498409,0.037464,-0.127442,0.111915,-0.033103,0.045026,0.007715,0.000461,-0.931885,0.494385,-0.535889,0.097683,0.004984,0.000372,1.000000,0.000225,0.000039,0.000002,0.639317,-0.260396,-0.662501,-0.290792
11751,NaN,9.803959,0.472359,0.006017,-0.125387,0.069718,0.001598,0.046164,0.008441,-0.001404,-0.925293,0.487793,-0.535889,0.098040,0.004723,0.000057,1.000000,0.000231,0.000042,-0.000007,0.639410,-0.260231,-0.662536,-0.290655
11752,NaN,9.822159,0.424731,-0.045439,-0.123769,-0.001651,0.017977,0.042515,0.018592,0.001242,-0.927490,0.487793,-0.540039,0.098222,0.004248,-0.000463,1.000000,0.000213,0.000093,0.000006,0.639529,-0.260073,-0.662536,-0.290535
11753,NaN,9.864015,0.345784,-0.025721,-0.194754,-0.044924,0.055396,0.036469,0.015487,-0.005254,-0.931641,0.481445,-0.537842,0.098640,0.003455,-0.000264,1.000000,0.000182,0.000077,-0.000026,0.639632,-0.259916,-0.662534,-0.290451
11754,NaN,9.879513,0.348325,0.047564,-0.243818,0.007440,0.070069,0.026009,0.021858,-0.003759,-0.921143,0.483643,-0.540039,0.098795,0.003481,0.000465,1.000000,0.000130,0.000109,-0.000019,0.639733,-0.259789,-0.662507,-0.290405
11755,NaN,9.867173,0.327983,0.052985,-0.259802,-0.004471,0.056657,0.028472,0.023334,-0.005741,-0.931641,0.485596,-0.533691,0.098672,0.003277,0.000519,1.000000,0.000142,0.000117,-0.000029,0.639862,-0.259651,-0.662459,-0.290355
11756,NaN,9.851856,0.342014,0.083359,-0.268923,0.025308,0.041755,0.032296,0.029017,-0.005928,-0.929688,0.492188,-0.538086,0.098519,0.003417,0.000820,1.000000,0.000161,0.000145,-0.000030,0.639991,-0.259486,-0.662421,-0.290305
11757,NaN,9.882384,0.316093,0.030444,-0.249586,-0.034368,0.071587,0.035526,0.031165,-0.013254,-0.929443,0.483643,-0.533691,0.098824,0.003154,0.000290,1.000000,0.000178,0.000156,-0.000066,0.640159,-0.259296,-0.662353,-0.290259
11758,NaN,9.882201,0.301958,-0.065750,-0.191403,-0.116512,0.071805,0.042365,0.036957,-0.017311,-0.923340,0.489990,-0.540039,0.098822,0.003011,-0.000675,1.000000,0.000212,0.000185,-0.000087,0.640312,-0.259049,-0.662318,-0.290222
11759,NaN,9.878007,0.249385,-0.059455,-0.230360,-0.152416,0.064785,0.048801,0.040684,-0.019658,-0.927490,0.481445,-0.544189,0.098780,0.002484,-0.000614,1.000000,0.000244,0.000203,-0.000098,0.640531,-0.258792,-0.662236,-0.290155
11760,NaN,9.862612,0.249033,-0.127063,-0.181301,-0.204779,0.050095,0.051449,0.042184,-0.019909,-0.925537,0.487793,-0.542236,0.098626,0.002481,-0.001291,1.000000,0.000257,0.000211,-0.000100,0.640709,-0.258500,-0.662201,-0.290103
11761,NaN,9.794051,0.253413,-0.183422,-0.132478,-0.243854,-0.017572,0.055204,0.040949,-0.023932,-0.925293,0.483643,-0.540039,0.097940,0.002523,-0.001854,1.000000,0.000276,0.000205,-0.000120,0.640940,-0.258228,-0.662124,-0.290009
11762,NaN,9.768497,0.267583,-0.199457,-0.108902,-0.248985,-0.042269,0.055203,0.040946,-0.023947,-0.929688,0.485596,-0.535889,0.097685,0.002665,-0.002014,1.000000,0.000276,0.000205,-0.000120,0.641112,-0.257912,-0.662104,-0.289956
11763,NaN,9.786000,0.275672,-0.274232,-0.048276,-0.300810,-0.023705,0.050556,0.045492,-0.026755,-0.929443,0.477051,-0.537842,0.097860,0.002744,-0.002764,1.000000,0.000253,0.000227,-0.000134,0.641349,-0.257662,-0.662010,-0.289869
11764,NaN,9.786204,0.262430,-0.368976,0.009907,-0.382953,-0.023507,0.049699,0.052261,-0.031669,-0.929688,0.485840,-0.544434,0.097861,0.002610,-0.003715,1.000000,0.000248,0.000261,-0.000158,0.641540,-0.257322,-0.661956,-0.289873
11765,NaN,9.804858,0.217947,-0.415854,0.013685,-0.452390,-0.007034,0.046229,0.059526,-0.041553,-0.929199,0.472900,-0.542236,0.098048,0.002160,-0.004187,1.000000,0.000231,0.000298,-0.000208,0.641783,-0.257045,-0.661843,-0.289837
11766,NaN,9.818556,0.173228,-0.486160,0.031670,-0.541210,0.004465,0.037025,0.059720,-0.044034,-0.929443,0.477051,-0.542236,0.098184,0.001712,-0.004891,1.000000,0.000185,0.000299,-0.000220,0.641965,-0.256694,-0.661762,-0.289932
11767,NaN,9.875245,0.138941,-0.515263,0.028335,-0.592343,0.059171,0.029276,0.071581,-0.053250,-0.925049,0.470703,-0.544189,0.098751,0.001364,-0.005188,1.000000,0.000146,0.000358,-0.000266,0.642185,-0.256455,-0.661627,-0.289962
11768,NaN,9.854254,0.068351,-0.525784,-0.012436,-0.657571,0.033880,0.013923,0.075526,-0.060172,-0.929443,0.477051,-0.546387,0.098541,0.000654,-0.005295,1.000000,0.000070,0.000378,-0.000301,0.642366,-0.256102,-0.661482,-0.290206
11769,NaN,9.923432,0.056712,-0.556636,0.000775,-0.695153,0.102166,0.009717,0.084116,-0.069947,-0.924805,0.464355,-0.544189,0.099232,0.000533,-0.005608,1.000000,0.000049,0.000421,-0.000350,0.642552,-0.255906,-0.661329,-0.290316
11770,NaN,10.009328,-0.020782,-0.587465,-0.035555,-0.785949,0.182971,0.004591,0.094008,-0.081342,-0.927002,0.468506,-0.548340,0.100090,-0.000248,-0.005922,1.000000,0.000023,0.000470,-0.000407,0.642751,-0.255485,-0.661137,-0.290682
11771,NaN,10.099386,-0.042587,-0.619754,-0.029724,-0.833686,0.271339,0.002692,0.107492,-0.092977,-0.928955,0.459961,-0.541992,0.100990,-0.000473,-0.006252,1.000000,0.000013,0.000537,-0.000465,0.642941,-0.255259,-0.660966,-0.290851
11772,NaN,10.112795,-0.116758,-0.732379,-0.002883,-0.981540,0.279645,0.021473,0.122060,-0.103393,-0.927002,0.466553,-0.552734,0.101123,-0.001219,-0.007386,1.000000,0.000107,0.000610,-0.000517,0.643221,-0.254670,-0.660736,-0.291268
11773,NaN,10.032321,-0.160863,-0.824387,0.037785,-1.082245,0.196321,0.056321,0.152638,-0.109715,-0.926514,0.455811,-0.546143,0.100316,-0.001661,-0.008321,1.000000,0.000282,0.000763,-0.000549,0.643568,-0.254240,-0.660559,-0.291280
11774,NaN,9.892001,-0.131625,-0.853838,0.089542,-1.097006,0.055776,0.101200,0.189164,-0.122273,-0.926514,0.449219,-0.554688,0.098911,-0.001372,-0.008633,0.999999,0.000506,0.000946,-0.000611,0.644143,-0.253235,-0.660253,-0.291579
11775,NaN,9.835726,-0.294446,-0.889463,0.008542,-1.244430,-0.011125,0.148470,0.221716,-0.133567,-0.922119,0.449219,-0.550537,0.098345,-0.003003,-0.009006,0.999999,0.000742,0.001109,-0.000668,0.644742,-0.252394,-0.660090,-0.291351
11776,NaN,9.914173,-0.227709,-0.783711,-0.014123,-1.151185,0.068173,0.173899,0.245487,-0.148156,-0.924316,0.449219,-0.556641,0.099130,-0.002344,-0.007961,0.999999,0.000869,0.001227,-0.000741,0.645555,-0.250986,-0.659739,-0.291564
11777,NaN,10.088633,-0.329332,-0.860682,-0.028817,-1.298125,0.234387,0.154585,0.277160,-0.159416,-0.924072,0.440674,-0.554688,0.100872,-0.003367,-0.008749,0.999998,0.000773,0.001386,-0.000797,0.646279,-0.250043,-0.659478,-0.291359
