// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
62389,NaN,1.697485,-1.332156,1.076280,0.000000,0.000000,-7.401374,0.022640,-1.186691,0.422089,-0.929688,-0.329346,-0.280273,0.016939,-0.013287,0.010862,0.999980,0.000113,-0.005933,0.002110,-0.385713,-0.221175,0.475241,-0.759245
62390,NaN,1.074639,-0.559365,1.302575,-0.000000,0.000000,-8.033808,0.305335,-1.349836,0.573866,-0.931885,-0.325195,-0.261230,0.010674,-0.005583,0.013089,0.999972,0.001527,-0.006749,0.002869,-0.315344,-0.246023,0.267508,-0.876624
62391,NaN,0.685462,0.456461,1.533869,-0.595833,-1.169777,-8.669227,0.547282,-1.493930,0.706667,-0.934082,-0.318848,-0.248535,0.006724,0.004546,0.015402,0.999962,0.002736,-0.007470,0.003533,-0.351922,-0.245858,0.387850,-0.815645
62392,NaN,0.558154,1.267175,1.891682,-1.060971,-1.895324,-8.930851,0.815220,-1.594924,0.843015,-0.944824,-0.314697,-0.229492,0.005377,0.012617,0.019012,0.999951,0.004076,-0.007974,0.004215,-0.344371,-0.252150,0.388349,-0.816709
62393,NaN,0.263743,1.338490,2.046565,-0.861455,-2.185018,-9.082709,1.203585,-1.706652,0.990667,-0.951172,-0.310303,-0.208252,0.002396,0.013274,0.020567,0.999933,0.006018,-0.008533,0.004953,-0.335820,-0.259310,0.386871,-0.818727
62394,NaN,0.264821,0.652568,1.848108,-0.330060,-1.716842,-8.888150,1.640894,-1.819089,1.103987,-0.957764,-0.299805,-0.185059,0.002444,0.006388,0.018557,0.999910,0.008204,-0.009095,0.005520,-0.325624,-0.267353,0.384605,-0.821322
62395,NaN,0.605148,0.705421,1.816709,-0.534093,-1.618322,-8.690298,1.838168,-1.999322,1.145627,-0.966309,-0.295410,-0.161865,0.005829,0.006920,0.018290,0.999891,0.009191,-0.009996,0.005728,-0.313713,-0.276817,0.378403,-0.825693
62396,NaN,1.727987,1.643113,2.106278,-1.822120,-2.029159,-8.174439,1.597159,-2.197126,1.059016,-0.966553,-0.282715,-0.138672,0.016959,0.016352,0.021381,0.999894,0.007986,-0.010985,0.005295,-0.302940,-0.286359,0.376681,-0.827247
62397,NaN,3.272588,3.379621,2.520820,-3.859916,-2.938973,-7.588288,1.038103,-2.388923,0.884591,-0.970703,-0.278564,-0.109131,0.032271,0.033807,0.025771,0.999905,0.005190,-0.011944,0.004423,-0.291983,-0.297249,0.369216,-0.830703
62398,NaN,4.840090,5.502476,3.186074,-6.101162,-4.361101,-7.054303,0.340425,-2.417358,0.714811,-0.968750,-0.270020,-0.090088,0.047813,0.055141,0.032535,0.999919,0.001702,-0.012086,0.003574,-0.284022,-0.306443,0.372364,-0.828715
