// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.4.0,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
65308,NaN,12.738207,2.363744,0.684745,0,0,3.160671,-0.212223,1.654221,-2.0944,-0.75,-0.114746,-0.453857,0.127671,0.022308,0.005768,0.99991,-0.001061,0.008271,-0.010472,0.717843,0.039733,-0.690066,-0.083259
65309,NaN,11.058539,-1.278483,1.11085,0,0,1.374416,-0.833265,2.198078,-2.067204,-0.741211,-0.121094,-0.474854,0.110559,-0.013885,0.00995,0.999878,-0.004166,0.01099,-0.010336,0.706593,0.112405,-0.665504,0.212592
65310,NaN,9.744399,-2.402433,1.300538,-0.016464,-2.804784,-0.089353,-1.430388,2.563849,-1.857871,-0.726318,-0.129395,-0.498047,0.097373,-0.024841,0.011933,0.999849,-0.007152,0.012819,-0.009289,0.73391,0.084168,-0.67135,0.059845
65311,NaN,9.200946,-1.383965,0.143709,1.092184,-1.677082,-0.725213,-1.9486,2.479433,-1.848777,-0.709473,-0.129395,-0.519287,0.091886,-0.014682,0.000438,0.999833,-0.009742,0.012396,-0.009243,0.743483,0.082467,-0.661945,0.047554
65312,NaN,8.077943,-0.97338,-0.621563,1.841259,-1.188638,-1.952696,-1.83166,2.35997,-1.700715,-0.696533,-0.135742,-0.54248,0.080612,-0.010482,-0.007074,0.999852,-0.009158,0.011799,-0.008503,0.752527,0.07969,-0.652682,0.036858
65313,NaN,8.224668,1.69022,-0.430963,1.455112,1.282677,-1.632214,-1.35301,2.123973,-1.664093,-0.683838,-0.137939,-0.55542,0.082331,0.016184,-0.005295,0.999886,-0.006765,0.010619,-0.00832,0.760219,0.079629,-0.644202,0.027023
65314,NaN,7.44022,2.669538,1.185623,-0.23382,1.952459,-2.065553,-0.826494,2.136461,-1.62748,-0.673096,-0.144287,-0.567871,0.074737,0.026135,0.01095,0.999901,-0.004132,0.010682,-0.008137,0.765552,0.081077,-0.637945,0.019571
65315,NaN,6.574063,2.870036,0.810906,0.13088,2.185159,-2.933886,-0.585688,2.015821,-1.602032,-0.656006,-0.152832,-0.582764,0.066045,0.028194,0.007361,0.999913,-0.002928,0.010079,-0.00801,0.772309,0.08374,-0.629582,0.012386
65316,NaN,6.007243,3.00741,-0.225931,1.153872,2.366101,-3.628088,-1.295586,2.273288,-1.478743,-0.645508,-0.148438,-0.601807,0.06026,0.029611,-0.003136,0.999887,-0.006478,0.011366,-0.007393,0.777909,0.087749,-0.62222,-0.000508
65317,NaN,4.608818,3.747303,-0.64381,1.367777,3.24728,-4.987959,-2.390122,2.712093,-1.214309,-0.624512,-0.14209,-0.623047,0.046217,0.037107,-0.007509,0.999818,-0.01195,0.01356,-0.006071,0.78725,0.082221,-0.61102,-0.011476
