// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.4.0,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
65307,NaN,10.574628,0.195712,-0.753704,0,0,0.790382,1.380513,1.022749,1.728469,-0.791748,0.185303,0.136719,0.105683,0.002925,-0.00806,0.999926,0.006902,0.005114,0.008642,0.375163,-0.600203,-0.421618,-0.566786
65308,NaN,10.391355,0.345386,-0.724294,0,0,0.609401,1.464194,1.084055,1.797616,-0.783936,0.200195,0.130371,0.103835,0.004443,-0.007776,0.999918,0.007321,0.00542,0.008988,0.386442,-0.584876,-0.441842,-0.559784
65309,NaN,10.080006,0.427489,-0.728383,0.084003,0.00269,0.302078,1.475795,1.154094,1.844411,-0.786621,0.221436,0.115479,0.10071,0.00526,-0.007829,0.999914,0.007379,0.00577,0.009222,0.405047,-0.57742,-0.448441,-0.549021
65310,NaN,9.678956,0.374833,-0.591232,0.228419,-0.040541,-0.111431,1.429128,1.21199,1.872023,-0.785156,0.236328,0.107178,0.09671,0.004699,-0.006467,0.999912,0.007145,0.00606,0.00936,0.416994,-0.575346,-0.444465,-0.545476
65311,NaN,9.30344,0.352571,-0.430031,0.399764,-0.054736,-0.501583,1.341483,1.242399,1.880974,-0.779053,0.249023,0.090576,0.092967,0.004432,-0.00485,0.999914,0.006707,0.006212,0.009405,0.428758,-0.573486,-0.440004,-0.54192
65312,NaN,8.996112,0.281159,-0.244279,0.511607,-0.020123,-0.82363,1.224382,1.259599,1.873732,-0.775391,0.266113,0.082275,0.089912,0.003671,-0.002988,0.999918,0.006122,0.006298,0.009368,0.440081,-0.571523,-0.435212,-0.538777
65313,NaN,8.696891,0.048893,-0.051048,0.439341,0.070439,-1.127083,1.085143,1.267724,1.861949,-0.773926,0.281006,0.06958,0.086954,0.001303,-0.001056,0.999922,0.005426,0.006338,0.00931,0.450486,-0.569269,-0.430447,-0.536386
65314,NaN,8.476743,-0.13823,0.054678,0.399534,0.071941,-1.344544,0.950298,1.262218,1.844928,-0.772461,0.304443,0.056885,0.084777,-0.000601,0.000008,0.999926,0.004751,0.006311,0.009224,0.460822,-0.567673,-0.42487,-0.533738
65315,NaN,8.171166,-0.271245,0.162036,0.36309,0.069548,-1.643941,0.833578,1.242155,1.80961,-0.768799,0.317139,0.044434,0.08174,-0.001978,0.001103,0.999931,0.004168,0.006211,0.009048,0.469846,-0.565077,-0.419944,-0.532523
65316,NaN,7.922468,-0.303347,0.215162,0.441327,0.005534,-1.893939,0.72754,1.229107,1.768196,-0.762939,0.332031,0.042236,0.079259,-0.002339,0.001655,0.999935,0.003638,0.006145,0.008841,0.47916,-0.563771,-0.413971,-0.530279
65317,NaN,7.583773,-0.179696,0.232249,0.598919,-0.112876,-2.24788,0.646796,1.201824,1.715944,-0.76123,0.346924,0.019531,0.075862,-0.001153,0.001862,0.99994,0.003234,0.006009,0.00858,0.486891,-0.56083,-0.409274,-0.530001
65318,NaN,7.205241,0.173998,0.185036,0.998727,-0.315868,-2.679595,0.580936,1.199898,1.656361,-0.749023,0.355225,0.019287,0.072044,0.002332,0.001424,0.999943,0.002905,0.005999,0.008282,0.495337,-0.559594,-0.403225,-0.528115
65319,NaN,6.828876,0.421377,0.145417,1.214655,-0.465011,-3.09412,0.53088,1.169768,1.596885,-0.745361,0.372314,0.000732,0.068259,0.004756,0.001067,0.999947,0.002654,0.005849,0.007984,0.501007,-0.556025,-0.400139,-0.528883
65320,NaN,6.530862,0.77536,0.024985,1.588096,-0.711019,-3.47036,0.492478,1.134744,1.535838,-0.739258,0.38501,-0.005615,0.065247,0.008255,-0.000101,0.999951,0.002462,0.005674,0.007679,0.508684,-0.554836,-0.39431,-0.527179
65321,NaN,6.287078,0.869472,-0.105294,1.605234,-0.881287,-3.734868,0.463314,1.087244,1.47536,-0.73584,0.404297,-0.018311,0.062797,0.009161,-0.001374,0.999955,0.002317,0.005436,0.007377,0.51148,-0.550638,-0.394213,-0.528944
65322,NaN,6.203702,0.814134,-0.295943,1.582175,-1.124221,-3.857169,0.479114,1.017044,1.40978,-0.727295,0.40625,-0.034668,0.061961,0.008586,-0.003254,0.999959,0.002396,0.005085,0.007049,0.518511,-0.54948,-0.388982,-0.527173
65323,NaN,6.414987,0.803821,-0.443403,1.529451,-1.303244,-3.651828,0.50866,0.953078,1.340794,-0.721436,0.421143,-0.036865,0.064072,0.00848,-0.004718,0.999963,0.002543,0.004765,0.006704,0.519011,-0.545382,-0.391918,-0.528759
65324,NaN,6.70282,0.856529,-0.613438,1.664901,-1.579204,-3.427466,0.562617,0.879411,1.25819,-0.719727,0.431885,-0.049316,0.066945,0.009004,-0.006404,0.999967,0.002813,0.004397,0.006291,0.525578,-0.544045,-0.387679,-0.526771
65325,NaN,7.08794,0.952947,-0.651924,1.746381,-1.652069,-3.045712,0.616375,0.80188,1.179529,-0.707275,0.440186,-0.057617,0.070795,0.009968,-0.006773,0.99997,0.003082,0.004009,0.005898,0.524461,-0.540646,-0.393093,-0.527371
65326,NaN,8.042664,0.944584,-0.815658,1.91938,-1.994307,-2.158947,0.66726,0.703516,1.095149,-0.705566,0.44873,-0.065918,0.080344,0.009914,-0.008407,0.999973,0.003336,0.003518,0.005476,0.530521,-0.53918,-0.390036,-0.525075
