// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
39549,NaN,5.984993,2.734360,5.146815,0.000000,-0.000000,-1.458903,-0.142907,1.113076,-0.476584,-1.020996,-0.198486,-0.384521,0.060200,0.027237,0.051114,0.999981,-0.000715,0.005565,-0.002383,0.092484,-0.380517,-0.221973,-0.892962
39550,NaN,6.395593,2.030265,7.188309,0.000000,0.000000,0.020756,-0.258144,0.886240,-0.444665,-1.020996,-0.207031,-0.396973,0.064319,0.020252,0.071572,0.999987,-0.001291,0.004431,-0.002223,-0.047362,-0.357043,-0.092718,-0.928268
39551,NaN,7.606420,0.729063,10.233109,1.638162,2.835774,2.531540,-0.036240,0.579285,-0.412112,-1.016602,-0.207031,-0.396973,0.076375,0.007152,0.102109,0.999994,-0.000181,0.002896,-0.002061,0.007477,-0.373999,-0.146962,-0.915681
39552,NaN,9.862828,0.756369,8.550366,-1.195516,2.606721,2.943935,0.547710,0.314122,-0.255785,-1.018555,-0.211182,-0.396973,0.098772,0.007204,0.085369,0.999994,0.002739,0.001571,-0.001279,0.007561,-0.372350,-0.149935,-0.915870
39553,NaN,12.379118,2.083080,6.167562,-4.483271,0.962044,3.400746,1.060314,0.135031,-0.113636,-1.016357,-0.217529,-0.394775,0.123845,0.020433,0.061701,0.999986,0.005302,0.000675,-0.000568,0.009508,-0.372117,-0.153976,-0.915276
39554,NaN,14.630407,2.634977,6.009389,-6.136319,0.689017,4.985113,1.205070,-0.136792,0.018087,-1.014160,-0.221924,-0.392822,0.146260,0.026000,0.060351,0.999982,0.006025,-0.000684,0.000090,0.011728,-0.372692,-0.159461,-0.914076
39555,NaN,16.068158,3.095771,7.214016,-5.927848,0.759781,7.042397,1.025459,-0.404763,0.208822,-1.024658,-0.217773,-0.373779,0.160503,0.030754,0.072623,0.999984,0.005127,-0.002024,0.001044,0.016340,-0.382956,-0.161694,-0.909358
39556,NaN,16.850827,5.285773,7.473832,-5.837387,-1.109158,8.420246,0.857399,-0.715862,0.408460,-1.035156,-0.224121,-0.363037,0.168131,0.052879,0.075567,0.999982,0.004287,-0.003579,0.002042,0.019260,-0.386465,-0.164866,-0.907245
39557,NaN,18.254851,7.656580,7.325850,-5.357776,-3.279347,10.338357,0.749550,-1.044402,0.537216,-1.032959,-0.219971,-0.350342,0.181956,0.076777,0.074497,0.999976,0.003748,-0.005222,0.002686,0.026717,-0.413262,-0.165631,-0.895024
39558,NaN,20.029344,8.636193,6.659285,-6.531663,-4.249417,11.620336,0.377597,-1.328660,0.616096,-1.041748,-0.213623,-0.337646,0.199577,0.086850,0.068084,0.999971,0.001888,-0.006643,0.003080,0.029153,-0.419655,-0.166220,-0.891858
