// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
05736,NaN,0.409054,5.318076,-1.507540,0.000000,-0.000000,-4.270050,-2.105682,-0.423362,-0.031350,-0.677002,0.349854,-0.146484,0.004132,0.053018,-0.015625,0.999942,-0.010528,-0.002117,-0.000157,0.041647,-0.006573,-0.800571,-0.597753
05737,NaN,-0.299363,4.581629,-1.641985,-0.000000,0.000000,-4.936593,-1.908606,-0.398471,-0.261057,-0.679443,0.351807,-0.137939,-0.002901,0.045661,-0.016862,0.999952,-0.009543,-0.001992,-0.001305,-0.026768,0.013633,-0.820194,-0.571296
05738,NaN,-0.776440,3.506462,-1.559660,0.815186,-0.373555,-6.001356,-1.577027,-0.383111,-0.492850,-0.689941,0.347656,-0.131348,-0.007648,0.034959,-0.015887,0.999964,-0.007885,-0.001916,-0.002464,0.003660,-0.000760,-0.808458,-0.588542
05739,NaN,-1.861347,3.127399,-0.865072,1.869417,0.124661,-6.574922,-1.076998,-0.378819,-0.766464,-0.694336,0.347656,-0.131592,-0.018477,0.031298,-0.008854,0.999976,-0.005385,-0.001894,-0.003832,-0.000131,0.001204,-0.805279,-0.592895
05740,NaN,-3.025648,4.489251,-0.230542,2.982684,1.109548,-5.427126,-0.657045,-0.346896,-1.072454,-0.694092,0.339111,-0.126953,-0.030011,0.045046,-0.002505,0.999979,-0.003285,-0.001734,-0.005362,-0.005159,0.005447,-0.803495,-0.595264
05741,NaN,-3.505361,5.714602,0.554201,3.383170,2.198039,-4.429989,-0.298482,-0.265380,-1.327161,-0.706543,0.330566,-0.124756,-0.034681,0.057385,0.005410,0.999976,-0.001492,-0.001327,-0.006636,-0.010167,0.009997,-0.802544,-0.596422
05742,NaN,-4.100735,5.783276,1.270809,3.826168,2.868075,-4.426511,-0.009926,-0.214631,-1.541253,-0.710205,0.311279,-0.122559,-0.040574,0.058147,0.012662,0.999970,-0.000050,-0.001073,-0.007706,-0.020791,0.019567,-0.800119,-0.599162
05743,NaN,-4.449802,5.655909,1.381542,4.083797,2.953340,-4.493137,0.062488,-0.213210,-1.883559,-0.718506,0.302734,-0.124512,-0.043977,0.056971,0.013786,0.999955,0.000312,-0.001066,-0.009418,-0.027292,0.026456,-0.800064,-0.598710
05744,NaN,-4.913874,5.343692,1.506931,4.270440,2.881900,-4.480861,0.155460,-0.196566,-1.998141,-0.726562,0.287598,-0.130859,-0.048616,0.053913,0.015063,0.999949,0.000777,-0.000983,-0.009991,-0.048280,0.044699,-0.791565,-0.607533
05745,NaN,-5.002268,5.308477,1.715488,4.245301,3.098647,-4.472349,0.126630,-0.183229,-2.228952,-0.736816,0.270508,-0.128418,-0.049443,0.053627,0.017143,0.999937,0.000633,-0.000916,-0.011145,-0.055801,0.052931,-0.791358,-0.606496
05746,NaN,-4.833281,4.986816,2.095957,3.689868,3.188768,-4.442752,-0.008261,-0.160840,-2.476434,-0.738037,0.247070,-0.117432,-0.047727,0.050463,0.020919,0.999923,-0.000041,-0.000804,-0.012382,-0.087526,0.079615,-0.774984,-0.620806
05747,NaN,-4.746385,4.165375,2.447281,3.667410,3.366319,-5.221045,-0.257606,-0.119981,-2.695578,-0.748291,0.229736,-0.119385,-0.046911,0.042320,0.024390,0.999908,-0.001288,-0.000600,-0.013477,-0.096247,0.089793,-0.772988,-0.620615
05748,NaN,-4.329351,2.434975,2.684219,3.377558,3.073771,-6.493139,-0.551927,-0.078892,-2.890986,-0.758301,0.208496,-0.114746,-0.042945,0.025046,0.026757,0.999892,-0.002760,-0.000394,-0.014454,-0.132626,0.120296,-0.748418,-0.638600
05749,NaN,-3.453481,0.750973,2.467596,3.047300,2.597217,-8.216881,-0.815658,-0.012042,-3.033898,-0.759766,0.184814,-0.112305,-0.034416,0.008133,0.024642,0.999877,-0.004078,-0.000060,-0.015169,-0.141851,0.132136,-0.743889,-0.639568
05750,NaN,-2.519849,-1.821512,2.432648,3.172821,2.249915,-10.487462,-0.877813,0.106897,-3.082143,-0.769775,0.163330,-0.116211,-0.025461,-0.017717,0.024419,0.999871,-0.004389,0.000534,-0.015410,-0.177089,0.162337,-0.715989,-0.655474
05751,NaN,-0.719733,-4.781374,1.784692,2.984715,1.378847,-13.781701,-0.805689,0.214029,-3.004975,-0.769043,0.144043,-0.113770,-0.007895,-0.047626,0.018047,0.999878,-0.004028,0.001070,-0.015024,-0.185495,0.174489,-0.711012,-0.655444
05752,NaN,0.823224,-8.537827,0.679450,4.053167,0.357492,-17.393782,-0.595588,0.301360,-2.790061,-0.770264,0.116211,-0.115479,0.007051,-0.085461,0.007038,0.999897,-0.002978,0.001507,-0.013950,-0.216313,0.201577,-0.686468,-0.664332
05753,NaN,2.083672,-12.393016,-0.810929,5.393135,-1.212158,-21.127383,-0.465648,0.342488,-2.492885,-0.780518,0.105713,-0.117676,0.019276,-0.124195,-0.007854,0.999918,-0.002328,0.001712,-0.012464,-0.222931,0.211758,-0.682723,-0.662835
05754,NaN,3.842717,-17.515527,-3.587351,8.209860,-3.696270,-25.729660,-0.603386,0.324174,-2.217840,-0.775391,0.084229,-0.119385,0.036423,-0.175674,-0.035404,0.999933,-0.003017,0.001621,-0.011089,-0.250399,0.239106,-0.663913,-0.662834
05755,NaN,5.245400,-24.200229,-6.351734,11.872914,-6.374313,-31.535637,-0.678588,0.348422,-2.019301,-0.779297,0.069092,-0.116943,0.049896,-0.242729,-0.062783,0.999942,-0.003393,0.001742,-0.010096,-0.255109,0.247799,-0.659648,-0.662103
05756,NaN,6.164785,-27.544151,-7.394751,15.929741,-7.507241,-33.076955,-0.438685,0.438580,-1.799331,-0.779053,0.060547,-0.123291,0.059004,-0.276142,-0.073474,0.999955,-0.002193,0.002193,-0.008997,-0.282946,0.286480,-0.648425,-0.646077
05757,NaN,6.698383,-25.965861,-7.501876,14.816095,-7.579790,-32.137270,-0.022969,0.486557,-1.472094,-0.782715,0.047852,-0.125244,0.064887,-0.260150,-0.075148,0.999970,-0.000115,0.002433,-0.007360,-0.286083,0.292848,-0.646911,-0.643353
05758,NaN,6.705673,-23.798882,-6.963484,15.769823,-7.703286,-28.569249,0.365431,0.394094,-0.935601,-0.776123,0.041260,-0.127197,0.065805,-0.238171,-0.070200,0.999985,0.001827,0.001970,-0.004678,-0.314180,0.341719,-0.640756,-0.611515
05759,NaN,4.842760,-22.027834,-4.933803,15.445294,-5.681775,-26.004576,0.765272,0.232788,-0.314542,-0.778320,0.041260,-0.131592,0.048023,-0.220163,-0.050237,0.999991,0.003826,0.001164,-0.001573,-0.315700,0.342233,-0.642918,-0.608166
05760,NaN,1.456354,-19.411250,-3.252341,16.301954,-4.447554,-20.008554,1.236605,0.097382,0.248930,-0.778320,0.039307,-0.131592,0.014789,-0.193888,-0.033730,0.999980,0.006183,0.000487,0.001245,-0.344416,0.375108,-0.642250,-0.572875
05761,NaN,5.644312,-46.864964,-13.266779,38.000750,-16.891492,-35.788982,1.242865,-0.220682,0.763740,-0.776367,0.047852,-0.125244,0.058379,-0.467593,-0.135512,0.999973,0.006214,-0.001103,0.003819,-0.345259,0.369873,-0.646845,-0.570598
05762,NaN,15.395044,-31.970864,-10.361120,23.133333,-14.835254,-34.536051,-1.486322,0.384985,0.398739,-0.770020,0.052002,-0.138184,0.154392,-0.320161,-0.101530,0.999969,-0.007432,0.001925,0.001994,-0.365982,0.412270,-0.635509,-0.540573
05763,NaN,10.795572,10.987540,6.742871,-14.166081,6.146465,-16.466839,1.579283,0.817549,-0.089834,-0.774170,0.045654,-0.138184,0.108282,0.109292,0.067851,0.999960,0.007896,0.004088,-0.000449,-0.366868,0.411859,-0.641063,-0.533684
05764,NaN,11.355241,13.422681,2.386094,-16.316670,2.990288,-16.107730,0.613238,0.355689,-0.035069,-0.771973,0.043457,-0.144531,0.113619,0.134133,0.024070,0.999994,0.003066,0.001778,-0.000175,-0.393710,0.404559,-0.651001,-0.507466
05765,NaN,21.653017,-4.437035,0.945773,-3.670230,-2.587263,-31.475302,0.248233,0.541796,0.166325,-0.767578,0.043457,-0.144531,0.216591,-0.044201,0.008816,0.999995,0.001241,0.002709,0.000832,-0.392025,0.404902,-0.653031,-0.505887
05766,NaN,23.645214,-0.000070,2.737510,-8.001323,-1.356991,-32.189596,0.396281,0.539502,0.173748,-0.771973,0.047852,-0.153076,0.236525,0.000151,0.026737,0.999994,0.001981,0.002698,0.000869,-0.384401,0.421301,-0.655944,-0.494449
05767,NaN,16.432909,3.330047,5.025494,-8.406126,2.551709,-24.952403,0.386447,0.296644,0.030457,-0.769775,0.045654,-0.155273,0.164398,0.033229,0.050075,0.999997,0.001932,0.001483,0.000152,-0.384166,0.421190,-0.657531,-0.492614
05768,NaN,16.969484,-0.275690,3.378323,-5.146017,-0.046453,-26.334439,0.097808,0.439401,0.103617,-0.761475,0.052002,-0.157471,0.169770,-0.002685,0.033409,0.999997,0.000489,0.002197,0.000518,-0.384329,0.428110,-0.660428,-0.482544
05769,NaN,11.748795,-0.566132,3.907907,-3.088301,1.375596,-21.737298,-0.061421,0.371036,0.189851,-0.772217,0.052002,-0.161865,0.117565,-0.005538,0.038863,0.999998,-0.000307,0.001855,0.000949,-0.382513,0.428495,-0.661397,-0.482316
05770,NaN,11.609232,-1.039241,1.345180,-2.836682,-1.233123,-21.130643,-0.023906,0.369782,0.378843,-0.765625,0.052002,-0.159668,0.116136,-0.010171,0.013238,0.999996,-0.000120,0.001849,0.001894,-0.383526,0.426392,-0.666418,-0.476429
05771,NaN,9.967161,-0.780758,-0.312195,-2.735457,-2.471848,-19.110989,-0.149645,0.233348,0.422516,-0.766113,0.062744,-0.166260,0.099684,-0.007599,-0.003233,0.999997,-0.000748,0.001167,0.002113,-0.381422,0.425825,-0.667408,-0.477239
05772,NaN,9.796773,-3.207724,-0.601595,-0.469171,-3.289414,-19.589577,-0.023806,0.168416,0.485535,-0.765869,0.056396,-0.168213,0.098040,-0.031840,-0.006095,0.999997,-0.000119,0.000842,0.002428,-0.376848,0.428114,-0.670830,-0.474016
05773,NaN,9.510517,-2.254354,-0.812014,-1.330312,-3.261941,-18.965893,0.184700,0.115083,0.523619,-0.770264,0.058594,-0.170410,0.095159,-0.022287,-0.008196,0.999996,0.000923,0.000575,0.002618,-0.375615,0.426281,-0.672602,-0.474135
