// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.4.0,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
64295,NaN,9.030444,-0.108281,0.317909,0,0,-0.776186,-1.103971,2.185344,-0.49105,-1.062988,-0.158936,-0.003906,0.090329,-0.001291,0.002199,0.999922,-0.00552,0.010926,-0.002455,-0.474865,-0.515867,0.470866,-0.535415
64296,NaN,8.60317,-0.131806,0.633322,0,0,-1.185399,-1.142236,2.145716,-0.455539,-1.061035,-0.163086,-0.041992,0.08609,-0.001481,0.005418,0.999924,-0.005711,0.010728,-0.002278,-0.48034,-0.507081,0.459858,-0.548337
64297,NaN,8.318871,-0.425717,1.068836,0.271478,-0.719329,-1.450052,-1.180348,2.084939,-0.417451,-1.058594,-0.171631,-0.065186,0.083285,-0.004371,0.009846,0.999926,-0.005902,0.010424,-0.002087,0.518734,0.474128,-0.498596,0.507463
64298,NaN,7.820363,-0.06069,0.552175,-0.03903,-0.062737,-1.97308,-1.259451,1.826904,-0.424242,-1.056641,-0.171387,-0.082031,0.078248,-0.000741,0.004812,0.999936,-0.006297,0.009134,-0.002121,0.527318,0.467254,-0.496016,0.507522
64299,NaN,8.009087,-0.178767,1.098471,0.085651,-0.458815,-1.740211,-1.226747,1.578056,-0.458178,-1.054443,-0.179932,-0.103271,0.08017,-0.001906,0.010364,0.999947,-0.006134,0.00789,-0.002291,0.535601,0.460957,-0.493523,0.507036
64300,NaN,7.480853,-0.272076,1.561941,0.176213,-0.853358,-2.215552,-1.088679,1.547284,-0.397191,-1.050049,-0.182129,-0.120117,0.074921,-0.002786,0.015055,0.999953,-0.005443,0.007736,-0.001986,0.54291,0.455077,-0.491201,0.506829
64301,NaN,6.994206,-0.264386,1.792541,0.164638,-1.007273,-2.660104,-0.931673,1.450559,-0.353746,-1.047852,-0.186279,-0.132812,0.070065,-0.002686,0.01743,0.999961,-0.004658,0.007253,-0.001769,0.549868,0.448944,-0.488283,0.507615
64302,NaN,6.590438,-0.284598,1.900414,0.186593,-1.071533,-3.034574,-0.817485,1.295944,-0.302007,-1.050293,-0.179932,-0.149658,0.066021,-0.002869,0.018588,0.99997,-0.004087,0.00648,-0.00151,0.555617,0.444131,-0.486102,0.507683
64303,NaN,6.275206,-0.594616,1.855922,0.496834,-0.968534,-3.332648,-0.800858,1.140174,-0.268513,-1.043701,-0.19043,-0.166748,0.062849,-0.005957,0.018225,0.999975,-0.004004,0.005701,-0.001343,0.562145,0.437138,-0.482628,0.509876
64304,NaN,5.94803,-0.976259,1.805684,0.883558,-0.944572,-3.654807,-0.787056,1.015255,-0.228365,-1.041748,-0.186279,-0.175049,0.05956,-0.00976,0.017793,0.999979,-0.003935,0.005076,-0.001142,0.566885,0.43288,-0.481271,0.509543
