// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.4.0,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
64295,NaN,-6.835374,-6.974023,2.326907,0,0,0.225917,0.756662,0.00461,0.034631,0.350586,0.833496,-0.323486,-0.068341,-0.069839,0.023007,0.999993,0.003783,0.000023,0.000173,0.156766,0.336698,0.521579,-0.768124
64296,NaN,-7.070929,-6.825818,2.531952,0,0,0.336224,0.679066,0.035473,0.07705,0.348633,0.829346,-0.331543,-0.070678,-0.068371,0.0251,0.999994,0.003395,0.000177,0.000385,0.181452,0.331126,0.516427,-0.768592
64297,NaN,-7.116504,-6.707809,2.545759,0.187082,-0.231171,0.288382,0.666771,0.058507,0.09061,0.346436,0.829346,-0.339844,-0.071127,-0.067195,0.025255,0.999994,0.003334,0.000293,0.000453,0.162256,0.338904,0.514953,-0.77048
64298,NaN,-7.030649,-6.691133,2.50299,0.146388,-0.141397,0.20852,0.758882,0.074617,0.076932,0.35083,0.827148,-0.339844,-0.070271,-0.067033,0.024802,0.999993,0.003794,0.000373,0.000385,0.161074,0.340003,0.511956,-0.77224
64299,NaN,-7.021868,-6.581566,2.376189,0.254125,-0.01391,0.097147,0.943695,0.081962,0.092442,0.353027,0.822998,-0.349854,-0.070179,-0.065959,0.02348,0.999989,0.004718,0.00041,0.000462,0.159491,0.341068,0.508228,-0.774558
64300,NaN,-7.046516,-6.225797,2.177624,0.554739,0.077664,-0.177246,1.192581,0.082999,0.094093,0.353027,0.818848,-0.360107,-0.070427,-0.06242,0.021434,0.999982,0.005963,0.000415,0.00047,0.157607,0.342573,0.503506,-0.777358
64301,NaN,-6.915011,-5.805729,2.3179,0.651583,-0.136592,-0.514698,1.477459,0.070846,0.102993,0.355713,0.806152,-0.37207,-0.069112,-0.058262,0.022774,0.999973,0.007387,0.000354,0.000515,0.155418,0.344486,0.497574,-0.780766
64302,NaN,-6.758456,-5.341187,2.566963,0.716023,-0.458436,-0.864467,1.666171,0.064389,0.10472,0.355957,0.79541,-0.38208,-0.067548,-0.053659,0.025245,0.999965,0.008331,0.000322,0.000524,0.152792,0.34628,0.490922,-0.784691
64303,NaN,-6.640574,-4.939266,2.547303,0.861846,-0.506396,-1.211395,1.81897,0.036196,0.096088,0.358398,0.789062,-0.398438,-0.066377,-0.049654,0.025034,0.999959,0.009095,0.000181,0.00048,0.150587,0.348335,0.483042,-0.789086
64304,NaN,-6.45935,-4.933717,2.789457,0.638893,-0.594403,-1.263811,1.929861,0.012977,0.090488,0.356445,0.778564,-0.416748,-0.064569,-0.049633,0.027421,0.999953,0.009649,0.000065,0.000452,0.147545,0.350042,0.475258,-0.793619
64305,NaN,-6.373691,-4.923849,3.164812,0.413876,-0.77479,-1.203883,1.968891,0.010407,0.078708,0.358887,0.772217,-0.428711,-0.063716,-0.049572,0.031165,0.999951,0.009844,0.000052,0.000394,0.146065,0.351779,0.466442,-0.798341
64306,NaN,-6.249611,-4.663457,3.466731,0.341724,-1.038573,-1.349404,1.953537,-0.004573,0.069901,0.363525,0.761719,-0.447021,-0.062481,-0.046992,0.034208,0.999952,0.009768,-0.000023,0.00035,0.142912,0.353334,0.458496,-0.802816
64307,NaN,-6.214342,-4.518712,3.5378,0.354196,-1.022013,-1.423299,1.912778,-0.000142,0.041784,0.359619,0.749023,-0.458984,-0.062134,-0.045536,0.034944,0.999954,0.009564,-0.000001,0.000209,0.143157,0.353924,0.449891,-0.807367
64308,NaN,-6.275105,-4.281212,3.768427,0.4225,-1.243004,-1.435201,1.812665,-0.000822,0.022873,0.360107,0.738281,-0.468994,-0.062746,-0.043158,0.037294,0.999959,0.009063,-0.000004,0.000114,0.140038,0.355255,0.442514,-0.811396
64309,NaN,-6.283302,-4.164028,3.494855,0.610413,-0.929813,-1.578906,1.725221,-0.015483,-0.043152,0.35791,0.734131,-0.489502,-0.062845,-0.041926,0.034583,0.999963,0.008626,-0.000077,-0.000216,0.142555,0.354354,0.434637,-0.815599
