// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
53778,NaN,7.203229,-2.522935,10.551133,-7.857264,1.848434,0.406133,-0.364867,-0.203934,0.498131,-0.642822,0.181641,-0.646729,0.071987,-0.024857,0.105630,0.999995,-0.001824,-0.001020,0.002491,0.742984,-0.145667,-0.525929,-0.387498
53779,NaN,1.401002,-4.609965,9.814105,-9.700501,2.562187,-5.469251,-0.942848,-0.798230,0.842056,-0.658203,0.200928,-0.634033,0.013810,-0.045578,0.098412,0.999972,-0.004714,-0.003991,0.004210,0.741809,-0.152927,-0.526439,-0.386257
53780,NaN,0.431210,-3.491274,7.223257,-7.286410,2.138809,-7.188995,-0.351126,-1.078015,0.678491,-0.653809,0.200928,-0.625732,0.004041,-0.034772,0.072316,0.999978,-0.001756,-0.005390,0.003392,0.740005,-0.158153,-0.529205,-0.383825
53781,NaN,1.845334,-1.858784,5.706408,-4.889731,1.707734,-6.263422,0.366983,-1.133060,0.362728,-0.668457,0.194580,-0.623535,0.018164,-0.018660,0.057133,0.999981,0.001835,-0.005665,0.001814,0.737979,-0.159926,-0.533804,-0.380609
53782,NaN,1.023984,-0.290385,2.574681,-1.797824,1.060946,-7.967711,1.115675,-1.090217,0.172315,-0.670654,0.196533,-0.614990,0.010102,-0.003039,0.025785,0.999969,0.005578,-0.005451,0.000862,0.736363,-0.158368,-0.539655,-0.376113
53783,NaN,0.875172,-0.075957,0.747871,-0.451361,0.095847,-8.755305,1.436455,-1.694597,0.169421,-0.685303,0.190186,-0.606445,0.008689,-0.000806,0.007547,0.999938,0.007182,-0.008473,0.000847,0.733201,-0.156714,-0.548428,-0.370248
53784,NaN,5.745897,-0.177499,1.215790,-0.291634,-1.433419,-4.122005,1.398556,-2.230870,0.330849,-0.695801,0.187988,-0.602051,0.057322,-0.001768,0.012785,0.999912,0.006993,-0.011154,0.001654,0.728824,-0.156710,-0.558734,-0.363419
53785,NaN,10.279823,0.258387,0.574226,0.857713,-3.011256,-0.001310,1.288277,-2.257816,0.501143,-0.706299,0.181396,-0.589355,0.102718,0.002799,0.006920,0.999912,0.006441,-0.011289,0.002506,0.724373,-0.157504,-0.568861,-0.356193
53786,NaN,13.436694,1.348591,0.989614,1.484278,-2.834915,3.343875,1.203433,-2.093173,0.594935,-0.712646,0.181396,-0.570312,0.134212,0.013820,0.011384,0.999923,0.006017,-0.010466,0.002975,0.720457,-0.158678,-0.577971,-0.348874
53787,NaN,15.373660,1.773093,1.955908,1.075936,-2.283035,5.580163,1.130798,-1.928066,0.685424,-0.722900,0.175049,-0.563965,0.153476,0.018141,0.021141,0.999932,0.005654,-0.009640,0.003427,0.716929,-0.159938,-0.586305,-0.341584
