// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
10879,NaN,14.637154,-2.766746,-10.331836,-0.000000,-0.000000,8.315720,-1.217137,-1.020437,2.293986,-0.862793,-0.120850,0.534668,0.147205,-0.026607,-0.102405,0.999903,-0.006085,-0.005102,0.011470,-0.319273,-0.526873,0.710526,-0.340033
10880,NaN,12.830589,2.739288,-3.126086,-8.036650,-2.286388,0.774077,-0.885647,-0.171699,2.124635,-0.863281,-0.103760,0.538818,0.128033,0.028616,-0.031276,0.999933,-0.004428,-0.000858,0.010623,0.307335,0.355555,-0.850045,0.237800
10881,NaN,6.676046,0.263970,-1.693988,-3.365794,-1.801469,-4.073870,-1.296078,-0.052188,1.959489,-0.867920,-0.097168,0.534180,0.066735,0.003184,-0.016942,0.999931,-0.006480,-0.000261,0.009797,0.307066,0.345273,-0.855091,0.235193
10882,NaN,6.253135,-3.679616,-5.679952,1.160004,-1.679871,-0.827451,-0.739173,-0.166711,1.852457,-0.868408,-0.084473,0.531982,0.062917,-0.036424,-0.056612,0.999950,-0.003696,-0.000834,0.009262,0.307497,0.336461,-0.858532,0.234867
10883,NaN,8.351109,-5.147025,-5.922014,0.950259,-3.384732,1.093333,0.236365,-0.035161,1.606430,-0.868896,-0.069336,0.533936,0.083931,-0.050727,-0.059266,0.999967,0.001182,-0.000176,0.008032,0.305051,0.329959,-0.860983,0.238285
10884,NaN,9.777039,-4.063622,-5.370954,-1.014664,-3.448975,1.501999,1.286372,0.129396,1.249452,-0.867432,-0.047852,0.535645,0.097985,-0.039678,-0.054030,0.999960,0.006432,0.000647,0.006247,0.302026,0.327196,-0.860279,0.248279
10885,NaN,10.574663,-2.066377,-3.435143,-3.732753,-3.512691,0.267901,1.988361,0.293245,0.980213,-0.868164,-0.026611,0.533203,0.105794,-0.019801,-0.034706,0.999937,0.009942,0.001466,0.004901,0.298799,0.325598,-0.858918,0.258776
10886,NaN,10.048703,0.065194,-1.958604,-5.476876,-2.718036,-1.601020,2.120188,0.354318,0.854642,-0.873047,-0.009277,0.526611,0.100448,0.001290,-0.019753,0.999933,0.010601,0.001772,0.004273,0.296541,0.329079,-0.853398,0.274742
10887,NaN,9.444560,2.059514,-1.227027,-6.863177,-1.616718,-3.087432,1.831018,0.275138,0.823709,-0.877930,0.003418,0.521973,0.094343,0.021096,-0.012208,0.999949,0.009155,0.001376,0.004118,0.293555,0.327884,-0.851786,0.284214
10888,NaN,9.198832,3.052376,-0.809620,-7.546857,-1.207023,-3.797854,1.237733,0.114179,0.875621,-0.874023,0.020752,0.523926,0.091849,0.030976,-0.007958,0.999971,0.006189,0.000571,0.004378,0.293685,0.333763,-0.844960,0.297312
10889,NaN,9.575449,3.055171,-1.077155,-7.757331,-1.114864,-3.428056,0.518188,-0.078915,0.973364,-0.872070,0.027100,0.521729,0.095608,0.031045,-0.010654,0.999985,0.002591,-0.000395,0.004867,0.291036,0.330524,-0.845917,0.300794
10890,NaN,9.826296,2.053015,-1.714379,-6.910406,-1.394748,-2.463533,-0.019407,-0.196495,1.059847,-0.874756,0.040039,0.530029,0.098169,0.021049,-0.017049,0.999985,-0.000097,-0.000982,0.005299,0.293322,0.337098,-0.840001,0.307776
10891,NaN,9.811057,0.693818,-2.587842,-5.711806,-1.509035,-1.534257,-0.247745,-0.231149,1.057252,-0.870850,0.050537,0.525635,0.098102,0.007425,-0.025774,0.999985,-0.001239,-0.001156,0.005286,0.291137,0.332645,-0.842490,0.307891
10892,NaN,9.751216,-0.387945,-3.345574,-4.527256,-1.562661,-0.675351,-0.229552,-0.201663,1.003544,-0.868896,0.054932,0.534180,0.097564,-0.003428,-0.033353,0.999986,-0.001148,-0.001008,0.005018,0.294360,0.341505,-0.835306,0.314626
10893,NaN,9.367443,-0.894549,-4.021297,-3.807449,-1.178400,-0.387503,0.006999,-0.126849,0.907755,-0.869141,0.063477,0.529785,0.093739,-0.008519,-0.040154,0.999989,0.000035,-0.000634,0.004539,0.292387,0.337920,-0.837023,0.315772
10894,NaN,9.077982,-0.873404,-4.191659,-3.479720,-0.887485,-0.440073,0.301854,-0.022558,0.800873,-0.867188,0.069824,0.533936,0.090818,-0.008307,-0.041919,0.999991,0.001509,-0.000113,0.004004,0.294904,0.349500,-0.827719,0.325212
10895,NaN,9.057046,-0.763458,-4.193789,-3.619666,-0.769102,-0.511791,0.539739,0.068589,0.709230,-0.863281,0.080566,0.529541,0.090582,-0.007200,-0.041989,0.999990,0.002699,0.000343,0.003546,0.293089,0.347246,-0.827971,0.328608
10896,NaN,9.216464,-0.323033,-3.865597,-4.021716,-0.806709,-0.693214,0.684504,0.143521,0.646994,-0.861328,0.089111,0.522949,0.092146,-0.002800,-0.038732,0.999989,0.003423,0.000718,0.003235,0.294987,0.359488,-0.817824,0.338991
10897,NaN,9.484897,0.221238,-3.520082,-4.745922,-0.839300,-0.914689,0.749022,0.183523,0.618344,-0.868164,0.097900,0.529297,0.094809,0.002638,-0.035278,0.999988,0.003745,0.000918,0.003092,0.293340,0.357748,-0.817385,0.343292
10898,NaN,9.604225,0.702787,-3.091192,-5.177250,-0.961583,-1.177795,0.736441,0.196590,0.629896,-0.868652,0.110596,0.518311,0.095989,0.007444,-0.030979,0.999988,0.003682,0.000983,0.003149,0.295582,0.369388,-0.806594,0.354387
10899,NaN,9.616040,0.941836,-2.671840,-5.523966,-1.129503,-1.523933,0.636777,0.198733,0.674797,-0.873047,0.114990,0.520508,0.096101,0.009828,-0.026783,0.999989,0.003184,0.000994,0.003374,0.294008,0.367251,-0.806409,0.358316
10900,NaN,9.536408,1.015167,-2.383695,-5.433094,-1.327869,-1.665706,0.467418,0.175148,0.748114,-0.871338,0.127930,0.518066,0.095304,0.010564,-0.023896,0.999990,0.002337,0.000876,0.003741,0.297158,0.381223,-0.793950,0.368794
10901,NaN,9.551281,0.927639,-2.563007,-5.396484,-1.175371,-1.557248,0.310883,0.141711,0.834881,-0.867432,0.138428,0.513672,0.095455,0.009715,-0.025683,0.999990,0.001554,0.000709,0.004174,0.295586,0.378106,-0.794750,0.371535
10902,NaN,9.654010,0.933786,-2.891071,-5.254709,-0.921332,-1.212189,0.225054,0.108150,0.911267,-0.863281,0.142822,0.515625,0.096480,0.009810,-0.028952,0.999989,0.001125,0.000541,0.004556,0.300040,0.386815,-0.785505,0.378592
10903,NaN,9.605882,1.104728,-3.276825,-5.377932,-0.460446,-1.146899,0.226313,0.109485,1.002762,-0.865967,0.157959,0.506836,0.095984,0.011566,-0.032808,0.999987,0.001132,0.000547,0.005014,0.298130,0.383004,-0.786841,0.381192
10904,NaN,9.495574,1.125118,-3.664202,-5.190953,-0.027717,-0.986005,0.260566,0.131911,1.095502,-0.859863,0.168457,0.513184,0.094868,0.011819,-0.036689,0.999984,0.001303,0.000660,0.005477,0.302371,0.385232,-0.782415,0.384701
10905,NaN,9.494665,0.740517,-3.850136,-4.924552,0.034780,-0.797873,0.286784,0.161315,1.174277,-0.862549,0.181396,0.510986,0.094870,0.008018,-0.038567,0.999981,0.001434,0.000807,0.005871,0.300185,0.380754,-0.783867,0.387902
10906,NaN,9.534656,0.562538,-3.892911,-4.717190,0.152336,-0.641848,0.303859,0.188179,1.252120,-0.860596,0.192139,0.506348,0.095272,0.006281,-0.039010,0.999979,0.001519,0.000941,0.006261,0.308517,0.373303,-0.784663,0.386997
10907,NaN,9.447879,0.496948,-3.617975,-4.771079,0.000229,-0.877684,0.342968,0.200066,1.333043,-0.859375,0.213623,0.508301,0.094406,0.005661,-0.036265,0.999976,0.001715,0.001000,0.006665,0.306075,0.368206,-0.786160,0.390763
10908,NaN,9.458796,0.275942,-3.278542,-4.579513,-0.289216,-0.911206,0.387746,0.203481,1.418968,-0.848633,0.217773,0.501953,0.094531,0.003494,-0.032875,0.999972,0.001939,0.001017,0.007095,0.311167,0.369122,-0.781943,0.394320
10909,NaN,9.297679,-0.041162,-3.101621,-4.382523,-0.436595,-1.056577,0.413391,0.204879,1.506294,-0.851318,0.234863,0.503662,0.092944,0.000353,-0.031111,0.999969,0.002067,0.001024,0.007531,0.308225,0.363461,-0.783565,0.398646
10910,NaN,9.102682,-0.452235,-3.026499,-3.994626,-0.452177,-1.091483,0.434711,0.202119,1.594032,-0.849854,0.254395,0.497070,0.091028,-0.003731,-0.030366,0.999965,0.002174,0.001011,0.007970,0.313698,0.350470,-0.788454,0.396365
