// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
33187,NaN,9.864089,-0.611581,-0.855800,0.000000,-0.000000,0.107326,0.030344,-0.006019,-0.022195,-0.796143,-0.292236,0.413330,0.098640,-0.006125,-0.008556,1.000000,0.000152,-0.000030,-0.000111,-0.243653,-0.669636,0.307753,-0.630483
33188,NaN,9.822410,-0.644975,-0.853429,0.035615,0.010912,0.067731,0.026321,-0.003915,-0.016595,-0.798340,-0.296387,0.424072,0.098224,-0.006457,-0.008533,1.000000,0.000132,-0.000020,-0.000083,-0.245052,-0.669363,0.309830,-0.629212
33189,NaN,9.776210,-0.555961,-0.870526,-0.040323,-0.032368,0.017801,0.026375,-0.001996,-0.013304,-0.793945,-0.296387,0.415527,0.097762,-0.005565,-0.008705,1.000000,0.000132,-0.000010,-0.000067,-0.245003,-0.669422,0.309705,-0.629230
33190,NaN,9.746020,-0.622548,-0.892552,-0.006697,0.032154,-0.006157,0.015105,-0.008212,-0.012500,-0.796143,-0.292236,0.415527,0.097460,-0.006231,-0.008922,1.000000,0.000076,-0.000041,-0.000063,-0.244939,-0.669508,0.309633,-0.629199
33191,NaN,9.750233,-0.675421,-0.867852,0.049910,0.050705,-0.000891,0.007600,-0.006187,-0.012901,-0.791992,-0.292236,0.415527,0.097502,-0.006760,-0.008676,1.000000,0.000038,-0.000031,-0.000065,-0.244944,-0.669557,0.309574,-0.629174
33192,NaN,9.750436,-0.708690,-0.871317,0.072817,0.075684,0.001659,0.010046,-0.008542,-0.012116,-0.796143,-0.292236,0.417480,0.097504,-0.007092,-0.008709,1.000000,0.000050,-0.000043,-0.000061,-0.244898,-0.669629,0.309521,-0.629141
33193,NaN,9.738553,-0.606331,-0.841865,0.020020,-0.014361,-0.019057,0.010407,-0.003111,-0.008956,-0.793945,-0.294189,0.413330,0.097385,-0.006067,-0.008417,1.000000,0.000052,-0.000016,-0.000045,-0.244886,-0.669666,0.309462,-0.629136
33194,NaN,9.745692,-0.549974,-0.889032,-0.052648,-0.020407,-0.011250,0.000481,-0.003385,-0.003063,-0.793945,-0.298584,0.417725,0.097457,-0.005501,-0.008889,1.000000,0.000002,-0.000017,-0.000015,-0.244863,-0.669690,0.309461,-0.629119
33195,NaN,9.768189,-0.511873,-0.929462,-0.107594,-0.020102,0.012355,-0.018413,0.001234,0.003570,-0.796143,-0.294189,0.417725,0.097682,-0.005118,-0.009295,1.000000,-0.000092,0.000006,0.000018,-0.244915,-0.669658,0.309530,-0.629099
33196,NaN,9.795253,-0.596804,-0.950304,-0.060028,0.049807,0.046326,-0.020939,-0.004901,0.003276,-0.791992,-0.290039,0.413330,0.097953,-0.005967,-0.009500,1.000000,-0.000105,-0.000025,0.000016,-0.244952,-0.669651,0.309616,-0.629050
33197,NaN,9.833998,-0.671622,-0.881588,0.042651,0.047278,0.083359,-0.015793,-0.008017,0.001423,-0.793945,-0.296387,0.413330,0.098340,-0.006716,-0.008811,1.000000,-0.000079,-0.000040,0.000007,-0.244988,-0.669655,0.309680,-0.629001
33198,NaN,9.811833,-0.778061,-0.847700,0.143513,0.098090,0.064854,-0.007525,-0.005260,-0.008451,-0.796143,-0.292236,0.411133,0.098118,-0.007785,-0.008474,1.000000,-0.000038,-0.000026,-0.000042,-0.245020,-0.669681,0.309686,-0.628957
33199,NaN,9.781115,-0.741408,-0.861371,0.108179,0.086362,0.033261,0.000094,-0.004159,-0.013303,-0.791748,-0.294189,0.415527,0.097811,-0.007421,-0.008612,1.000000,0.000000,-0.000021,-0.000067,-0.245055,-0.669715,0.309646,-0.628927
33200,NaN,9.765408,-0.653372,-0.862783,0.044491,0.028747,0.012367,0.001417,-0.005498,-0.016270,-0.789795,-0.294189,0.413330,0.097654,-0.006542,-0.008625,1.000000,0.000007,-0.000027,-0.000081,-0.245075,-0.669760,0.309606,-0.628891
33201,NaN,9.734907,-0.650675,-0.879138,0.032091,0.042703,-0.016677,-0.001958,-0.001740,-0.015687,-0.791992,-0.290039,0.413330,0.097349,-0.006514,-0.008790,1.000000,-0.000010,-0.000009,-0.000078,-0.245128,-0.669788,0.309561,-0.628863
33202,NaN,9.742089,-0.593597,-0.925851,-0.040748,0.036477,-0.008869,0.007731,0.004227,-0.010104,-0.791992,-0.292236,0.411133,0.097420,-0.005941,-0.009261,1.000000,0.000039,0.000021,-0.000051,-0.245108,-0.669804,0.309515,-0.628876
33203,NaN,9.730404,-0.525911,-0.898359,-0.070604,-0.027884,-0.027053,0.000648,0.001658,-0.005022,-0.796387,-0.290039,0.415283,0.097304,-0.005262,-0.008984,1.000000,0.000003,0.000008,-0.000025,-0.245124,-0.669807,0.309494,-0.628877
33204,NaN,9.756951,-0.507368,-0.910297,-0.091988,-0.035419,-0.000734,-0.017965,0.003209,0.005266,-0.791748,-0.294189,0.417725,0.097569,-0.005072,-0.009104,1.000000,-0.000090,0.000016,0.000026,-0.245139,-0.669776,0.309580,-0.628862
33205,NaN,9.829842,-0.576871,-0.905470,-0.037333,0.001021,0.075540,-0.019254,-0.000816,0.003472,-0.789795,-0.292236,0.417725,0.098299,-0.005768,-0.009054,1.000000,-0.000096,-0.000004,0.000017,-0.245192,-0.669750,0.309653,-0.628833
33206,NaN,9.830446,-0.680077,-0.914122,0.031638,0.077034,0.083214,-0.020377,0.000200,-0.000281,-0.790039,-0.285645,0.406738,0.098304,-0.006802,-0.009141,1.000000,-0.000102,0.000001,-0.000001,-0.245213,-0.669751,0.309730,-0.628786
