// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
54014,NaN,9.675220,0.724607,0.091249,0.224477,-0.279361,-0.116569,0.805747,-0.308341,-0.061991,-0.872070,-0.012451,0.482666,0.096753,0.007212,0.001091,0.999991,0.004029,-0.001542,-0.000310,-0.001488,-0.711505,-0.030793,-0.702005
54015,NaN,9.620464,0.737749,0.169662,0.335641,-0.283020,-0.172483,0.796320,-0.260430,-0.069681,-0.865479,-0.012695,0.493164,0.096205,0.007337,0.001851,0.999991,0.003982,-0.001302,-0.000348,0.001060,-0.712408,-0.033834,-0.700949
54016,NaN,9.467659,0.758354,0.395982,0.590446,-0.264990,-0.328514,0.770586,-0.229438,-0.085722,-0.865723,-0.006104,0.493164,0.094675,0.007527,0.004098,0.999992,0.003853,-0.001147,-0.000429,0.002110,-0.713277,-0.037289,-0.699887
54017,NaN,9.595945,0.756977,0.118393,0.340961,-0.261286,-0.195796,0.719547,-0.198739,-0.079045,-0.865723,-0.006104,0.495117,0.095961,0.007527,0.001306,0.999993,0.003598,-0.000994,-0.000395,0.004362,-0.713945,-0.040091,-0.699040
54018,NaN,9.578041,0.790070,-0.149560,0.092137,-0.296904,-0.205983,0.659079,-0.177916,-0.067231,-0.865967,-0.001953,0.499512,0.095784,0.007873,-0.001384,0.999994,0.003295,-0.000890,-0.000336,0.006311,-0.714303,-0.043004,-0.698485
54019,NaN,9.563889,0.760105,-0.504465,-0.243290,-0.287126,-0.212763,0.640054,-0.160098,-0.053889,-0.865967,0.002441,0.495117,0.095645,0.007591,-0.004944,0.999995,0.003200,-0.000800,-0.000269,0.008374,-0.714827,-0.045437,-0.697774
54020,NaN,9.551193,0.721649,-0.707879,-0.431095,-0.254388,-0.221203,0.621470,-0.169108,-0.044343,-0.861816,0.008789,0.501465,0.095519,0.007217,-0.006976,0.999995,0.003107,-0.000846,-0.000222,0.010587,-0.715255,-0.048610,-0.697090
54021,NaN,9.456229,1.238000,-0.359146,-0.020118,-0.742515,-0.297955,0.562297,-0.180573,-0.023817,-0.857666,0.004639,0.499268,0.094567,0.012379,-0.003471,0.999996,0.002811,-0.000903,-0.000119,0.012471,-0.715846,-0.050664,-0.696306
54022,NaN,9.095647,0.129621,-0.809206,-0.556622,0.319098,-0.702762,0.601373,-0.168011,-0.039108,-0.862061,0.013184,0.497070,0.090963,0.001303,-0.008012,0.999995,0.003007,-0.000840,-0.000196,0.014913,-0.716353,-0.054929,-0.695413
54023,NaN,9.259716,0.334892,-0.688849,-0.395774,0.134841,-0.530761,0.697780,-0.148030,0.004231,-0.857910,0.017334,0.501465,0.092602,0.003375,-0.006808,0.999994,0.003489,-0.000740,0.000021,0.017386,-0.716812,-0.057351,-0.694686
